posting_id,year,sector,region,job_family,firm_size,posting_title,posting_text,remote_label,applicant_interest,future_remote_badge
34,2022,retail,South,operations,450,senior program operations associate,"senior program operations associate. The role supports retail teams through data dashboards, production floor, storefront support, customer follow up, team coordination, warehouse shift. Candidates document workflows and coordinate with managers.",0,2.9171,0
35,2023,health,West,analysis,1200,associate policy analyst,"associate policy analyst. The role supports health teams through training support, team coordination, quality checks, field visits, in person service, on site presence. Candidates document workflows and coordinate with managers.",0,3.4281,0
36,2021,health,Midwest,production,450,associate equipment operator,"associate equipment operator. The role supports health teams through cloud records, data dashboards, in person service, quality checks, training support, customer follow up. Candidates document workflows and coordinate with managers.",0,3.0978,0
37,2021,finance,Midwest,production,90,senior equipment operator,"senior equipment operator. The role supports finance teams through manager updates, training support, remote work, compliance documentation, shared workflow tools, case management software, team coordination. Candidates document workflows and coordinate with managers.",1,3.3247,1
38,2024,health,South,operations,3000,senior logistics coordinator,"senior logistics coordinator. The role supports health teams through warehouse shift, virtual meetings, cloud records, home office, compliance documentation, in person service, training support, remote work, online documentation. Candidates document workflows and coordinate with managers.",1,3.3431,1
39,2024,public,Midwest,care,450,senior patient support specialist,"senior patient support specialist. The role supports public teams through remote work, quality checks, home office, field visits, compliance documentation, online documentation. Candidates document workflows and coordinate with managers.",0,3.2618,0
40,2023,manufacturing,Northeast,operations,450,associate operations planner,"associate operations planner. The role supports manufacturing teams through remote work, front desk coverage, online documentation, storefront support, customer follow up, training support, compliance documentation. Candidates document workflows and coordinate with managers.",0,2.6686,0
41,2022,finance,Northeast,care,180,associate patient support specialist,"associate patient support specialist. The role supports finance teams through compliance documentation, team coordination, case management software, customer follow up, storefront support, data dashboards, manager updates, in person service. Candidates document workflows and coordinate with managers.",0,2.3958,0
42,2021,health,West,analysis,1200,senior risk analyst,"senior risk analyst. The role supports health teams through warehouse shift, training support, shared workflow tools, quality checks, in person service, production floor. Candidates document workflows and coordinate with managers.",0,2.5798,0
43,2021,finance,South,analysis,180,senior policy analyst,"senior policy analyst. The role supports finance teams through manager updates, remote work, compliance documentation, work from home, training support, case management software, quality checks, home office. Candidates document workflows and coordinate with managers.",1,2.4757,1
44,2024,public,West,analysis,450,associate risk analyst,"associate risk analyst. The role supports public teams through training support, quality checks, virtual meetings, customer follow up, compliance documentation, data dashboards. Candidates document workflows and coordinate with managers.",1,3.7399,1
45,2024,education,South,customer,450,associate service coordinator,"associate service coordinator. The role supports education teams through field visits, shared workflow tools, data dashboards, storefront support, home office, quality checks, asynchronous communication, in person service, compliance documentation, hybrid schedule, online documentation. Candidates document workflows and coordinate with managers.",1,2.9979,1
46,2024,manufacturing,Northeast,operations,1200,associate logistics coordinator,"associate logistics coordinator. The role supports manufacturing teams through manager updates, team coordination, case management software, online documentation, asynchronous communication, training support, work from home. Candidates document workflows and coordinate with managers.",1,3.6821,1
47,2024,education,South,operations,1200,associate logistics coordinator,"associate logistics coordinator. The role supports education teams through customer follow up, team coordination. Candidates document workflows and coordinate with managers.",0,2.9181,1
48,2022,education,Midwest,operations,90,senior operations planner,"senior operations planner. The role supports education teams through work from home, shared workflow tools, manager updates, quality checks. Candidates document workflows and coordinate with managers.",1,2.9183,1
49,2023,public,South,care,450,lead patient support specialist,"lead patient support specialist. The role supports public teams through case management software, online documentation, shared workflow tools, work from home, manager updates, quality checks, customer follow up. Candidates document workflows and coordinate with managers.",1,2.9824,1
50,2021,finance,Midwest,operations,180,associate operations planner,"associate operations planner. The role supports finance teams through manager updates, production floor, compliance documentation, case management software, quality checks, shared workflow tools, online documentation, flexible location, customer follow up, field visits, virtual meetings. Candidates document workflows and coordinate with managers.",1,3.5568,1
51,2024,manufacturing,West,customer,3000,senior client support associate,"senior client support associate. The role supports manufacturing teams through on site presence, training support, team coordination, field visits. Candidates document workflows and coordinate with managers.",0,3.6204,0
52,2021,health,West,customer,450,senior service coordinator,"senior service coordinator. The role supports health teams through work from home, asynchronous communication, shared workflow tools, secure video calls, training support, online documentation, manager updates. Candidates document workflows and coordinate with managers.",1,3.9506,0
53,2023,manufacturing,South,analysis,180,senior data analyst,"senior data analyst. The role supports manufacturing teams through customer follow up, training support, manager updates, storefront support, in person service, team coordination. Candidates document workflows and coordinate with managers.",0,2.3145,0
54,2021,retail,West,production,1200,senior production technician,"senior production technician. The role supports retail teams through compliance documentation, manager updates, flexible location, case management software, virtual meetings, training support. Candidates document workflows and coordinate with managers.",1,4.0009,1
55,2021,manufacturing,West,analysis,450,senior data analyst,"senior data analyst. The role supports manufacturing teams through secure video calls, quality checks, team coordination, remote work, training support, online documentation, case management software. Candidates document workflows and coordinate with managers.",1,3.6377,1
56,2022,public,West,production,180,associate warehouse lead,"associate warehouse lead. The role supports public teams through quality checks, case management software, asynchronous communication, customer follow up, flexible location. Candidates document workflows and coordinate with managers.",1,3.1407,1
57,2024,public,Midwest,customer,90,associate customer success lead,"associate customer success lead. The role supports public teams through in person service, home office, production floor, secure video calls, training support, front desk coverage, team coordination, work from home, online documentation, manager updates, quality checks. Candidates document workflows and coordinate with managers.",1,2.6557,1
58,2024,public,Midwest,analysis,450,lead policy analyst,"lead policy analyst. The role supports public teams through front desk coverage, compliance documentation, warehouse shift, home office, field visits, cloud records, training support. Candidates document workflows and coordinate with managers.",1,3.2344,0
59,2021,health,Northeast,analysis,1200,senior risk analyst,"senior risk analyst. The role supports health teams through compliance documentation, cloud records, case management software, manager updates, hybrid schedule, virtual meetings. Candidates document workflows and coordinate with managers.",1,3.7838,1
60,2023,manufacturing,Midwest,analysis,90,associate policy analyst,"associate policy analyst. The role supports manufacturing teams through home office, quality checks, field visits, flexible location, manager updates, secure video calls, case management software, work from home. Candidates document workflows and coordinate with managers.",1,3.0274,1
61,2021,finance,Midwest,operations,450,associate operations planner,"associate operations planner. The role supports finance teams through data dashboards, remote work, hybrid schedule, customer follow up, training support, virtual meetings, team coordination. Candidates document workflows and coordinate with managers.",1,3.4537,1
62,2023,finance,West,operations,90,associate logistics coordinator,"associate logistics coordinator. The role supports finance teams through team coordination, cloud records, data dashboards, quality checks, training support, asynchronous communication. Candidates document workflows and coordinate with managers.",1,3.2681,1
63,2024,public,South,care,450,associate care coordinator,"associate care coordinator. The role supports public teams through customer follow up, online documentation, compliance documentation, quality checks, training support, physical equipment. Candidates document workflows and coordinate with managers.",0,3.0629,0
64,2022,manufacturing,West,care,1200,senior clinic scheduler,"senior clinic scheduler. The role supports manufacturing teams through manager updates, data dashboards, customer follow up, online documentation, storefront support, training support. Candidates document workflows and coordinate with managers.",0,2.9029,0
65,2022,education,Northeast,analysis,40,associate risk analyst,"associate risk analyst. The role supports education teams through quality checks, home office, secure video calls, work from home, online documentation, training support, team coordination. Candidates document workflows and coordinate with managers.",1,3.4313,1
66,2024,public,Midwest,operations,1200,lead logistics coordinator,"lead logistics coordinator. The role supports public teams through quality checks, data dashboards, hybrid schedule, secure video calls, team coordination, compliance documentation, case management software, work from home, manager updates. Candidates document workflows and coordinate with managers.",1,3.3729,1
67,2022,retail,Midwest,operations,180,associate logistics coordinator,"associate logistics coordinator. The role supports retail teams through team coordination, customer follow up, case management software, cloud records. Candidates document workflows and coordinate with managers.",0,2.3741,0
68,2022,manufacturing,Midwest,operations,450,associate program operations associate,"associate program operations associate. The role supports manufacturing teams through customer follow up, compliance documentation, team coordination, on site presence. Candidates document workflows and coordinate with managers.",0,2.7035,0
69,2024,manufacturing,Midwest,administration,1200,associate administrative analyst,"associate administrative analyst. The role supports manufacturing teams through home office, on site presence, online documentation, compliance documentation, quality checks. Candidates document workflows and coordinate with managers.",0,3.2531,0
70,2023,education,Northeast,analysis,90,associate policy analyst,"associate policy analyst. The role supports education teams through physical equipment, shared workflow tools, quality checks, cloud records, training support, storefront support, front desk coverage, secure video calls. Candidates document workflows and coordinate with managers.",1,3.2743,1
71,2021,retail,West,customer,180,associate customer success lead,"associate customer success lead. The role supports retail teams through team coordination, manager updates, customer follow up, quality checks. Candidates document workflows and coordinate with managers.",0,2.9355,0
72,2023,public,South,production,180,associate equipment operator,"associate equipment operator. The role supports public teams through training support, customer follow up, team coordination, production floor, secure video calls, quality checks, front desk coverage, online documentation, field visits. Candidates document workflows and coordinate with managers.",0,2.561,0
73,2022,education,South,analysis,40,senior risk analyst,"senior risk analyst. The role supports education teams through home office, asynchronous communication, customer follow up, secure video calls, training support, virtual meetings. Candidates document workflows and coordinate with managers.",1,2.5967,1
74,2023,education,Midwest,administration,40,associate records manager,"associate records manager. The role supports education teams through manager updates, training support, front desk coverage, production floor. Candidates document workflows and coordinate with managers.",0,2.4331,0
75,2024,education,South,operations,450,associate program operations associate,"associate program operations associate. The role supports education teams through shared workflow tools, training support, team coordination, case management software. Candidates document workflows and coordinate with managers.",0,2.9319,0
76,2024,manufacturing,West,analysis,180,senior risk analyst,"senior risk analyst. The role supports manufacturing teams through training support, physical equipment, manager updates, field visits. Candidates document workflows and coordinate with managers.",0,2.7421,1
77,2024,finance,West,production,1200,lead warehouse lead,"lead warehouse lead. The role supports finance teams through cloud records, team coordination, quality checks, training support, manager updates. Candidates document workflows and coordinate with managers.",0,2.7923,0
78,2022,retail,Northeast,analysis,450,associate data analyst,"associate data analyst. The role supports retail teams through case management software, physical equipment, quality checks, customer follow up, on site presence, compliance documentation, secure video calls. Candidates document workflows and coordinate with managers.",0,2.8014,0
79,2021,public,West,administration,1200,associate grants coordinator,"associate grants coordinator. The role supports public teams through quality checks, virtual meetings, hybrid schedule, training support, remote work, data dashboards, customer follow up. Candidates document workflows and coordinate with managers.",1,3.5389,1
80,2023,education,Northeast,administration,180,associate administrative analyst,"associate administrative analyst. The role supports education teams through online documentation, field visits, production floor, front desk coverage, customer follow up, training support. Candidates document workflows and coordinate with managers.",0,2.2959,0
81,2021,education,West,customer,1200,senior service coordinator,"senior service coordinator. The role supports education teams through compliance documentation, data dashboards, quality checks, customer follow up, secure video calls, manager updates, remote work, asynchronous communication. Candidates document workflows and coordinate with managers.",1,3.0307,1
82,2022,retail,South,care,90,associate clinic scheduler,"associate clinic scheduler. The role supports retail teams through flexible location, home office, work from home, quality checks, secure video calls, customer follow up, manager updates, shared workflow tools, data dashboards. Candidates document workflows and coordinate with managers.",1,3.2718,1
83,2024,health,Midwest,administration,1200,associate administrative analyst,"associate administrative analyst. The role supports health teams through manager updates, customer follow up, quality checks. Candidates document workflows and coordinate with managers.",0,2.9375,0
84,2022,public,Northeast,production,3000,associate equipment operator,"associate equipment operator. The role supports public teams through warehouse shift, customer follow up, online documentation, physical equipment, compliance documentation, flexible location, training support, home office, work from home, in person service, quality checks. Candidates document workflows and coordinate with managers.",1,3.3602,1
85,2024,manufacturing,Northeast,operations,450,associate operations planner,"associate operations planner. The role supports manufacturing teams through field visits, data dashboards, compliance documentation, secure video calls, in person service, team coordination, quality checks, customer follow up, production floor. Candidates document workflows and coordinate with managers.",0,3.101,0
86,2022,public,Northeast,care,40,associate care coordinator,"associate care coordinator. The role supports public teams through warehouse shift, manager updates, training support, production floor, secure video calls, in person service, quality checks, case management software. Candidates document workflows and coordinate with managers.",0,2.8401,0
87,2022,manufacturing,Northeast,production,180,associate warehouse lead,"associate warehouse lead. The role supports manufacturing teams through customer follow up, physical equipment, team coordination, front desk coverage. Candidates document workflows and coordinate with managers.",0,2.7447,1
88,2024,retail,Northeast,production,450,senior equipment operator,"senior equipment operator. The role supports retail teams through compliance documentation, quality checks, team coordination. Candidates document workflows and coordinate with managers.",0,2.8062,0
89,2024,public,West,care,450,senior patient support specialist,"senior patient support specialist. The role supports public teams through quality checks, warehouse shift, manager updates, training support, production floor, in person service. Candidates document workflows and coordinate with managers.",0,3.1178,0
90,2022,public,Northeast,analysis,3000,associate risk analyst,"associate risk analyst. The role supports public teams through training support, team coordination, work from home, online documentation. Candidates document workflows and coordinate with managers.",1,3.2877,1
91,2023,health,South,administration,180,lead grants coordinator,"lead grants coordinator. The role supports health teams through cloud records, data dashboards, field visits, training support, physical equipment, in person service, quality checks. Candidates document workflows and coordinate with managers.",0,2.5407,0
92,2023,retail,South,administration,3000,senior records manager,"senior records manager. The role supports retail teams through online documentation, hybrid schedule, training support, on site presence, cloud records, remote work, team coordination, front desk coverage, manager updates. Candidates document workflows and coordinate with managers.",1,3.1821,1
93,2023,retail,Midwest,analysis,180,lead data analyst,"lead data analyst. The role supports retail teams through compliance documentation, distributed team, remote work, secure video calls, manager updates, asynchronous communication, front desk coverage, online documentation, customer follow up, quality checks. Candidates document workflows and coordinate with managers.",1,3.5084,1
94,2023,finance,West,production,90,associate equipment operator,"associate equipment operator. The role supports finance teams through compliance documentation, team coordination, shared workflow tools, data dashboards, manager updates, training support. Candidates document workflows and coordinate with managers.",0,2.5428,0
95,2022,education,Northeast,administration,450,associate administrative analyst,"associate administrative analyst. The role supports education teams through shared workflow tools, compliance documentation, data dashboards, online documentation, virtual meetings, quality checks, home office, training support. Candidates document workflows and coordinate with managers.",1,3.5791,1
96,2021,retail,South,production,180,associate equipment operator,"associate equipment operator. The role supports retail teams through compliance documentation, physical equipment, storefront support, training support, flexible location, production floor, virtual meetings. Candidates document workflows and coordinate with managers.",0,3.0327,0
97,2023,education,South,administration,40,senior administrative analyst,"senior administrative analyst. The role supports education teams through compliance documentation, asynchronous communication, warehouse shift, team coordination, manager updates, case management software, data dashboards, home office, hybrid schedule. Candidates document workflows and coordinate with managers.",1,3.0834,1
98,2023,public,Midwest,production,180,associate equipment operator,"associate equipment operator. The role supports public teams through compliance documentation, case management software, front desk coverage, online documentation, manager updates, field visits. Candidates document workflows and coordinate with managers.",0,3.1082,0
99,2024,finance,Northeast,care,180,associate patient support specialist,"associate patient support specialist. The role supports finance teams through customer follow up, compliance documentation, online documentation, manager updates, distributed team. Candidates document workflows and coordinate with managers.",1,3.0315,0
100,2022,health,West,care,90,associate patient support specialist,"associate patient support specialist. The role supports health teams through data dashboards, training support, compliance documentation. Candidates document workflows and coordinate with managers.",0,3.041,0
101,2022,education,West,administration,3000,senior grants coordinator,"senior grants coordinator. The role supports education teams through flexible location, quality checks, case management software, manager updates, team coordination, online documentation, customer follow up. Candidates document workflows and coordinate with managers.",1,3.5356,1
102,2022,retail,West,customer,180,associate customer success lead,"associate customer success lead. The role supports retail teams through case management software, training support, team coordination, quality checks, compliance documentation, secure video calls. Candidates document workflows and coordinate with managers.",0,3.0854,0
103,2024,manufacturing,Northeast,care,40,senior care coordinator,"senior care coordinator. The role supports manufacturing teams through team coordination, cloud records, distributed team, data dashboards, manager updates, quality checks, case management software, remote work. Candidates document workflows and coordinate with managers.",1,2.8148,1
104,2023,public,Midwest,operations,40,associate operations planner,"associate operations planner. The role supports public teams through secure video calls, cloud records, online documentation, team coordination, quality checks. Candidates document workflows and coordinate with managers.",1,2.8359,1
105,2023,finance,Northeast,analysis,90,senior data analyst,"senior data analyst. The role supports finance teams through in person service, quality checks, storefront support, shared workflow tools, on site presence, customer follow up, data dashboards. Candidates document workflows and coordinate with managers.",0,3.055,0
106,2023,health,West,production,40,associate warehouse lead,"associate warehouse lead. The role supports health teams through customer follow up, on site presence, secure video calls, in person service, compliance documentation, data dashboards. Candidates document workflows and coordinate with managers.",0,2.4009,0
107,2024,education,West,operations,40,senior operations planner,"senior operations planner. The role supports education teams through online documentation, in person service, on site presence, team coordination, customer follow up, secure video calls, production floor. Candidates document workflows and coordinate with managers.",0,2.5466,0
108,2022,retail,West,care,180,associate care coordinator,"associate care coordinator. The role supports retail teams through customer follow up, quality checks, training support, warehouse shift, field visits, manager updates, on site presence. Candidates document workflows and coordinate with managers.",0,3.0147,0
109,2021,retail,Midwest,analysis,450,senior policy analyst,"senior policy analyst. The role supports retail teams through secure video calls, team coordination, online documentation, remote work, manager updates, quality checks, customer follow up, data dashboards. Candidates document workflows and coordinate with managers.",1,3.7691,1
110,2024,retail,Midwest,operations,40,associate program operations associate,"associate program operations associate. The role supports retail teams through training support, virtual meetings, cloud records, work from home, flexible location, team coordination, data dashboards. Candidates document workflows and coordinate with managers.",1,3.1954,1
111,2022,manufacturing,Northeast,administration,40,lead administrative analyst,"lead administrative analyst. The role supports manufacturing teams through field visits, customer follow up, team coordination, front desk coverage, production floor. Candidates document workflows and coordinate with managers.",0,2.3021,0
112,2022,retail,Northeast,analysis,3000,lead policy analyst,"lead policy analyst. The role supports retail teams through home office, cloud records, team coordination, shared workflow tools, secure video calls, training support, manager updates. Candidates document workflows and coordinate with managers.",1,3.8859,1
113,2022,retail,Northeast,production,90,senior equipment operator,"senior equipment operator. The role supports retail teams through warehouse shift, team coordination, customer follow up, field visits, shared workflow tools, quality checks, compliance documentation. Candidates document workflows and coordinate with managers.",0,2.8692,0
114,2022,retail,Midwest,administration,180,senior grants coordinator,"senior grants coordinator. The role supports retail teams through secure video calls, manager updates, flexible location, compliance documentation, case management software. Candidates document workflows and coordinate with managers.",1,3.1854,1
115,2023,finance,South,customer,40,lead client support associate,"lead client support associate. The role supports finance teams through compliance documentation, warehouse shift, training support, quality checks, flexible location, storefront support, online documentation, work from home. Candidates document workflows and coordinate with managers.",1,3.1566,1
116,2021,education,West,administration,1200,associate records manager,"associate records manager. The role supports education teams through flexible location, home office, front desk coverage, compliance documentation, in person service, physical equipment, data dashboards, customer follow up, asynchronous communication, shared workflow tools. Candidates document workflows and coordinate with managers.",0,3.001,0
117,2022,health,West,care,90,associate patient support specialist,"associate patient support specialist. The role supports health teams through manager updates, physical equipment, training support, field visits, compliance documentation. Candidates document workflows and coordinate with managers.",0,3.0681,0
118,2024,education,Northeast,care,180,associate clinic scheduler,"associate clinic scheduler. The role supports education teams through case management software, quality checks, customer follow up, online documentation, team coordination, manager updates. Candidates document workflows and coordinate with managers.",1,2.6058,0
119,2023,finance,Midwest,analysis,180,associate policy analyst,"associate policy analyst. The role supports finance teams through shared workflow tools, manager updates, distributed team, secure video calls, compliance documentation, training support, team coordination. Candidates document workflows and coordinate with managers.",1,3.2912,1
120,2023,education,West,care,90,lead clinic scheduler,"lead clinic scheduler. The role supports education teams through customer follow up, home office, data dashboards, team coordination, quality checks, shared workflow tools, manager updates, case management software. Candidates document workflows and coordinate with managers.",1,3.6743,1
121,2023,retail,Northeast,care,90,associate patient support specialist,"associate patient support specialist. The role supports retail teams through quality checks, home office, distributed team, manager updates, cloud records. Candidates document workflows and coordinate with managers.",1,2.9597,0
122,2023,retail,South,production,90,senior warehouse lead,"senior warehouse lead. The role supports retail teams through in person service, customer follow up, manager updates, training support, data dashboards, field visits. Candidates document workflows and coordinate with managers.",0,2.6606,0
123,2022,health,Northeast,operations,40,associate operations planner,"associate operations planner. The role supports health teams through online documentation, customer follow up, data dashboards, compliance documentation, hybrid schedule. Candidates document workflows and coordinate with managers.",1,2.7701,1
124,2022,public,West,production,180,associate equipment operator,"associate equipment operator. The role supports public teams through quality checks, remote work, distributed team, shared workflow tools, compliance documentation, case management software, manager updates, training support. Candidates document workflows and coordinate with managers.",1,3.4256,1
125,2024,education,Midwest,operations,450,associate program operations associate,"associate program operations associate. The role supports education teams through case management software, quality checks, manager updates. Candidates document workflows and coordinate with managers.",1,3.2719,1
126,2024,manufacturing,West,analysis,180,lead policy analyst,"lead policy analyst. The role supports manufacturing teams through customer follow up, quality checks, manager updates, training support. Candidates document workflows and coordinate with managers.",0,2.9241,0
127,2022,health,West,production,90,senior warehouse lead,"senior warehouse lead. The role supports health teams through compliance documentation, cloud records, on site presence, quality checks, shared workflow tools. Candidates document workflows and coordinate with managers.",0,2.4126,0
128,2022,finance,Northeast,operations,180,associate operations planner,"associate operations planner. The role supports finance teams through data dashboards, training support, shared workflow tools, case management software, virtual meetings, customer follow up. Candidates document workflows and coordinate with managers.",1,3.4906,1
129,2021,education,South,administration,40,associate administrative analyst,"associate administrative analyst. The role supports education teams through manager updates, warehouse shift, team coordination, field visits, secure video calls, cloud records. Candidates document workflows and coordinate with managers.",0,2.5696,0
130,2023,health,West,analysis,40,lead risk analyst,"lead risk analyst. The role supports health teams through front desk coverage, quality checks, cloud records, training support, manager updates, distributed team. Candidates document workflows and coordinate with managers.",1,3.4017,1
131,2024,finance,West,production,90,associate equipment operator,"associate equipment operator. The role supports finance teams through compliance documentation, training support, online documentation, manager updates. Candidates document workflows and coordinate with managers.",1,3.1133,1
132,2024,retail,Northeast,operations,180,associate logistics coordinator,"associate logistics coordinator. The role supports retail teams through team coordination, compliance documentation, manager updates, quality checks, shared workflow tools, online documentation. Candidates document workflows and coordinate with managers.",1,2.7041,1
133,2021,manufacturing,Midwest,operations,180,lead operations planner,"lead operations planner. The role supports manufacturing teams through manager updates, team coordination, compliance documentation, customer follow up, shared workflow tools. Candidates document workflows and coordinate with managers.",1,3.1298,1
