case_id,profile,prompt_hash,mismatch_label,mismatch_type,mismatch_score,confidence,schema_valid,unsupported_flag,low_confidence_flag,human_review_flag,evidence_phrase_count,evidence_phrases,raw_output,year,program_area,region,case_text,benchmark_mismatch,benchmark_type,placement_score
6,rubric_v1,84fd6cb9b699257b,0,none,0.3018,0.3964,1,0,0,0,2,rapid upskilling; digital intake coaching,"{""confidence"": 0.3964, ""evidence"": [""rapid upskilling"", ""digital intake coaching""], ""mismatch_label"": 0, ""mismatch_score"": 0.3018, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: rapid upskilling; digital intake coaching"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,West,"Workforce case note for city contractor. Counselor summary: digital intake coaching, rapid upskilling. Participant is considering office administration placement.",1,skill_gap,2.8669
6,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.62,0.24,1,0,1,1,2,rapid upskilling; digital intake coaching,"{""confidence"": 0.24, ""evidence"": [""rapid upskilling"", ""digital intake coaching""], ""mismatch_label"": 1, ""mismatch_score"": 0.62, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: rapid upskilling; digital intake coaching"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,West,"Workforce case note for city contractor. Counselor summary: digital intake coaching, rapid upskilling. Participant is considering office administration placement.",1,skill_gap,2.8669
7,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,1,credential verified,"{""confidence"": 0.98, ""evidence"": [""credential verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,Northeast,Workforce case note for workforce agency. Counselor summary: credential verified. Participant is considering office administration placement.,0,none,3.355
7,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,1,credential verified,"{""confidence"": 0.98, ""evidence"": [""credential verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: credential verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,Northeast,Workforce case note for workforce agency. Counselor summary: credential verified. Participant is considering office administration placement.,0,none,3.355
8,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,wraparound schedule,"{""confidence"": 0.5782, ""evidence"": [""wraparound schedule""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: wraparound schedule"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,Midwest,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering logistics placement.",1,schedule_gap,2.6985
8,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,wraparound schedule,"{""confidence"": 0.26, ""evidence"": [""wraparound schedule""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: wraparound schedule"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,Midwest,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering logistics placement.",1,schedule_gap,2.6985
9,rubric_v1,84fd6cb9b699257b,0,none,0.3018,0.3964,1,0,0,0,2,rapid upskilling; digital intake coaching,"{""confidence"": 0.3964, ""evidence"": [""rapid upskilling"", ""digital intake coaching""], ""mismatch_label"": 0, ""mismatch_score"": 0.3018, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: rapid upskilling; digital intake coaching"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,South,"Workforce case note for city contractor. Counselor summary: rapid upskilling, digital intake coaching. Participant is considering logistics placement.",1,skill_gap,2.2637
9,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.62,0.24,1,0,1,1,2,rapid upskilling; digital intake coaching,"{""confidence"": 0.24, ""evidence"": [""rapid upskilling"", ""digital intake coaching""], ""mismatch_label"": 1, ""mismatch_score"": 0.62, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: rapid upskilling; digital intake coaching"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,South,"Workforce case note for city contractor. Counselor summary: rapid upskilling, digital intake coaching. Participant is considering logistics placement.",1,skill_gap,2.2637
10,rubric_v1,84fd6cb9b699257b,0,none,0.3018,0.3964,1,0,0,0,2,license bridge; credential bridge,"{""confidence"": 0.3964, ""evidence"": [""license bridge"", ""credential bridge""], ""mismatch_label"": 0, ""mismatch_score"": 0.3018, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: license bridge; credential bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,Midwest,"Workforce case note for union pathway. Counselor summary: credential bridge, license bridge. Participant is considering public service placement.",1,credential_gap,2.8687
10,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.62,0.24,1,0,1,1,2,license bridge; credential bridge,"{""confidence"": 0.24, ""evidence"": [""license bridge"", ""credential bridge""], ""mismatch_label"": 1, ""mismatch_score"": 0.62, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: license bridge; credential bridge"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,Midwest,"Workforce case note for union pathway. Counselor summary: credential bridge, license bridge. Participant is considering public service placement.",1,credential_gap,2.8687
11,rubric_v1,84fd6cb9b699257b,0,none,0.3018,0.3964,1,0,0,0,2,bridge credential; rapid upskilling,"{""confidence"": 0.3964, ""evidence"": [""bridge credential"", ""rapid upskilling""], ""mismatch_label"": 0, ""mismatch_score"": 0.3018, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: bridge credential; rapid upskilling"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: bridge credential, rapid upskilling. Participant is considering office administration placement.",1,skill_gap,2.7708
11,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.62,0.24,1,0,1,1,2,bridge credential; rapid upskilling,"{""confidence"": 0.24, ""evidence"": [""bridge credential"", ""rapid upskilling""], ""mismatch_label"": 1, ""mismatch_score"": 0.62, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: bridge credential; rapid upskilling"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: bridge credential, rapid upskilling. Participant is considering office administration placement.",1,skill_gap,2.7708
12,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,rapid upskilling,"{""confidence"": 0.5782, ""evidence"": [""rapid upskilling""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: rapid upskilling"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,South,Workforce case note for workforce agency. Counselor summary: rapid upskilling. Participant is considering public service placement.,1,skill_gap,2.4249
12,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,rapid upskilling,"{""confidence"": 0.26, ""evidence"": [""rapid upskilling""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: rapid upskilling"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,South,Workforce case note for workforce agency. Counselor summary: rapid upskilling. Participant is considering public service placement.,1,skill_gap,2.4249
13,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,license bridge,"{""confidence"": 0.5782, ""evidence"": [""license bridge""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: license bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: paperwork credential pending, license bridge. Participant is considering public service placement.",1,credential_gap,2.2073
13,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,license bridge,"{""confidence"": 0.26, ""evidence"": [""license bridge""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: license bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: paperwork credential pending, license bridge. Participant is considering public service placement.",1,credential_gap,2.2073
14,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,1,1,3,informal experience; skills aligned; no training barrier,"{""confidence"": 0.98, ""evidence"": [""informal experience"", ""skills aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: informal experience; skills aligned; no training barrier"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,South,"Workforce case note for community college. Counselor summary: informal experience, no training barrier, skills aligned. Participant is considering public service placement.",0,none,2.3527
14,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,1,1,3,informal experience; skills aligned; no training barrier,"{""confidence"": 0.98, ""evidence"": [""informal experience"", ""skills aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: informal experience; skills aligned; no training barrier"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,South,"Workforce case note for community college. Counselor summary: informal experience, no training barrier, skills aligned. Participant is considering public service placement.",0,none,2.3527
15,rubric_v1,84fd6cb9b699257b,1,credential_gap,0.3836,0.2327,1,0,1,1,3,bridge credential; digital intake coaching; partial fit,"{""confidence"": 0.2327, ""evidence"": [""bridge credential"", ""digital intake coaching"", ""partial fit""], ""mismatch_label"": 1, ""mismatch_score"": 0.3836, ""mismatch_type"": ""credential_gap"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: bridge credential; digital intake coaching; partial fit"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: digital intake coaching, partial fit, bridge credential. Participant is considering public service placement.",1,skill_gap,2.4207
15,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.7109,0.4218,1,0,1,1,3,bridge credential; digital intake coaching; partial fit,"{""confidence"": 0.4218, ""evidence"": [""bridge credential"", ""digital intake coaching"", ""partial fit""], ""mismatch_label"": 1, ""mismatch_score"": 0.7109, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: bridge credential; digital intake coaching; partial fit"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: digital intake coaching, partial fit, bridge credential. Participant is considering public service placement.",1,skill_gap,2.4207
16,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,rapid upskilling,"{""confidence"": 0.5782, ""evidence"": [""rapid upskilling""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: rapid upskilling"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: rapid upskilling, needs platform practice. Participant is considering public service placement.",1,skill_gap,2.2769
16,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,rapid upskilling,"{""confidence"": 0.26, ""evidence"": [""rapid upskilling""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: rapid upskilling"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: rapid upskilling, needs platform practice. Participant is considering public service placement.",1,skill_gap,2.2769
17,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,credential verified; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential verified; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: schedule aligned, credential verified. Participant is considering health support placement.",0,none,3.3544
17,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,credential verified; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: credential verified; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: schedule aligned, credential verified. Participant is considering health support placement.",0,none,3.3544
18,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,license bridge,"{""confidence"": 0.5782, ""evidence"": [""license bridge""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: license bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,training voucher,South,Workforce case note for training voucher. Counselor summary: license bridge. Participant is considering health support placement.,1,credential_gap,2.3419
18,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,license bridge,"{""confidence"": 0.26, ""evidence"": [""license bridge""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: license bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,training voucher,South,Workforce case note for training voucher. Counselor summary: license bridge. Participant is considering health support placement.,1,credential_gap,2.3419
19,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,reciprocity unresolved,"{""confidence"": 0.5782, ""evidence"": [""reciprocity unresolved""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: reciprocity unresolved"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,Northeast,Workforce case note for union pathway. Counselor summary: reciprocity unresolved. Participant is considering health support placement.,1,credential_gap,2.6093
19,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,reciprocity unresolved,"{""confidence"": 0.26, ""evidence"": [""reciprocity unresolved""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: reciprocity unresolved"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,Northeast,Workforce case note for union pathway. Counselor summary: reciprocity unresolved. Participant is considering health support placement.,1,credential_gap,2.6093
20,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,Northeast,"Workforce case note for city contractor. Counselor summary: ready for placement, schedule aligned. Participant is considering logistics placement.",0,none,3.0106
20,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,Northeast,"Workforce case note for city contractor. Counselor summary: ready for placement, schedule aligned. Participant is considering logistics placement.",0,none,3.0106
21,rubric_v1,84fd6cb9b699257b,0,none,0.2927,0.4145,1,0,1,1,2,reciprocity unresolved; transitioning from adjacent role,"{""confidence"": 0.4145, ""evidence"": [""reciprocity unresolved"", ""transitioning from adjacent role""], ""mismatch_label"": 0, ""mismatch_score"": 0.2927, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: reciprocity unresolved; transitioning from adjacent role"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: reciprocity unresolved, transitioning from adjacent role. Participant is considering health support placement.",1,credential_gap,3.0007
21,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.4609,0.0782,1,0,1,1,2,reciprocity unresolved; transitioning from adjacent role,"{""confidence"": 0.0782, ""evidence"": [""reciprocity unresolved"", ""transitioning from adjacent role""], ""mismatch_label"": 1, ""mismatch_score"": 0.4609, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: reciprocity unresolved; transitioning from adjacent role"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: reciprocity unresolved, transitioning from adjacent role. Participant is considering health support placement.",1,credential_gap,3.0007
22,rubric_v1,84fd6cb9b699257b,0,none,0.0291,0.9418,1,0,0,0,3,bridge credential; credential bridge; credential verified,"{""confidence"": 0.9418, ""evidence"": [""bridge credential"", ""credential bridge"", ""credential verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.0291, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: bridge credential; credential bridge; credential verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,Midwest,"Workforce case note for union pathway. Counselor summary: credential bridge, credential verified, bridge credential. Participant is considering office administration placement.",0,none,3.4165
22,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,3,bridge credential; credential bridge; credential verified,"{""confidence"": 0.26, ""evidence"": [""bridge credential"", ""credential bridge"", ""credential verified""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: bridge credential; credential bridge; credential verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,Midwest,"Workforce case note for union pathway. Counselor summary: credential bridge, credential verified, bridge credential. Participant is considering office administration placement.",0,none,3.4165
23,rubric_v1,84fd6cb9b699257b,0,none,0.12,0.76,1,0,0,0,0,,"{""confidence"": 0.76, ""evidence"": [], ""mismatch_label"": 0, ""mismatch_score"": 0.12, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""no explicit mismatch evidence found"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,South,"Workforce case note for training voucher. Counselor summary: care hours conflict, bus route barrier. Participant is considering health support placement.",1,schedule_gap,2.7224
23,transfer_adapted_v1,478b302efde69afe,0,none,0.12,0.76,1,0,0,0,0,,"{""confidence"": 0.76, ""evidence"": [], ""mismatch_label"": 0, ""mismatch_score"": 0.12, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""no explicit mismatch evidence found"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,South,"Workforce case note for training voucher. Counselor summary: care hours conflict, bus route barrier. Participant is considering health support placement.",1,schedule_gap,2.7224
24,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,skills aligned; license verified,"{""confidence"": 0.98, ""evidence"": [""skills aligned"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: skills aligned; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: license verified, skills aligned. Participant is considering health support placement.",0,none,2.7012
24,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,skills aligned; license verified,"{""confidence"": 0.98, ""evidence"": [""skills aligned"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: skills aligned; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: license verified, skills aligned. Participant is considering health support placement.",0,none,2.7012
