record_id,organization_type,region,policy_text,image_infrastructure_score,audio_clarity_score,video_interaction_score,flexible_service_capacity
87,clinic,West,"clinic service record. Staff describe hybrid advising, staff coordination, program reporting, virtual intake, participant outreach for participants and supervisors.",0.4075,0.8371,0.3226,1
88,school,West,"school service record. Staff describe case notes, program reporting, posted office hours, staff coordination, eligibility review, in person queue for participants and supervisors.",0.4511,0.9002,0.4235,0
89,clinic,West,"clinic service record. Staff describe virtual intake, remote service, digital case files, manager approval, program reporting for participants and supervisors.",0.4599,0.7339,0.4995,1
90,city office,Northeast,"city office service record. Staff describe participant outreach, hybrid advising, remote service, video check ins, case notes for participants and supervisors.",0.02,0.6335,0.1482,1
91,city office,Northeast,"city office service record. Staff describe virtual intake, digital case files, manager approval, participant outreach, staff coordination, program reporting, paper forms, remote service for participants and supervisors.",0.8078,0.6554,0.4354,1
92,city office,Northeast,"city office service record. Staff describe front counter, participant outreach, virtual intake, case notes, in person queue, manager approval for participants and supervisors.",0.6174,0.5592,0.6766,0
93,city office,West,"city office service record. Staff describe case notes, participant outreach, in person queue, video check ins, eligibility review, virtual intake, program reporting for participants and supervisors.",0.1745,0.8596,0.7743,1
94,school,South,"school service record. Staff describe virtual intake, program reporting, hybrid advising, posted office hours, eligibility review, digital case files for participants and supervisors.",0.6745,0.6431,0.316,1
95,school,Midwest,"school service record. Staff describe staff coordination, virtual intake, eligibility review, case notes, video check ins, remote service, digital case files, manager approval, walk in desk for participants and supervisors.",0.6714,0.806,0.9069,1
96,city office,West,"city office service record. Staff describe staff coordination, video check ins, manager approval, remote service, virtual intake, eligibility review, case notes, digital case files, walk in desk for participants and supervisors.",0.2704,0.6084,0.6103,1
97,workforce agency,Northeast,"workforce agency service record. Staff describe remote service, participant outreach, manager approval, staff coordination, digital case files, eligibility review for participants and supervisors.",0.4437,0.5378,0.1661,1
98,training vendor,Midwest,"training vendor service record. Staff describe staff coordination, in person queue, case notes, onsite workshop, front counter, program reporting, posted office hours for participants and supervisors.",0.6371,0.0678,0.4483,0
99,city office,South,"city office service record. Staff describe virtual intake, remote service, staff coordination, manager approval for participants and supervisors.",0.3902,0.843,0.3444,1
100,clinic,West,"clinic service record. Staff describe eligibility review, digital case files, program reporting, video check ins, participant outreach for participants and supervisors.",0.5197,0.6389,0.5013,1
101,workforce agency,South,"workforce agency service record. Staff describe program reporting, video check ins, manager approval, hybrid advising, participant outreach for participants and supervisors.",0.4762,0.3414,0.4819,1
102,training vendor,Midwest,"training vendor service record. Staff describe staff coordination, participant outreach, video check ins, hybrid advising, online appointments for participants and supervisors.",0.6709,0.3833,0.4499,1
103,school,Northeast,"school service record. Staff describe eligibility review, manager approval, case notes, online appointments, video check ins, staff coordination, remote service for participants and supervisors.",0.7526,0.5524,0.664,1
104,training vendor,Midwest,"training vendor service record. Staff describe staff coordination, walk in desk, digital case files, virtual intake, eligibility review, participant outreach, hybrid advising for participants and supervisors.",0.98,0.5408,0.5997,1
105,clinic,West,"clinic service record. Staff describe manager approval, staff coordination, virtual intake, paper forms, hybrid advising, program reporting, video check ins, participant outreach, remote service for participants and supervisors.",0.5697,0.4715,0.4465,1
106,city office,Northeast,"city office service record. Staff describe staff coordination, program reporting, in person queue, manager approval, walk in desk, front counter for participants and supervisors.",0.8858,0.98,0.3263,0
107,training vendor,Northeast,"training vendor service record. Staff describe virtual intake, participant outreach, staff coordination, hybrid advising, digital case files, eligibility review, program reporting for participants and supervisors.",0.5405,0.9054,0.2026,1
108,school,South,"school service record. Staff describe eligibility review, remote service, participant outreach, virtual intake, staff coordination, hybrid advising, program reporting, walk in desk for participants and supervisors.",0.6648,0.7297,0.5526,1
109,clinic,Northeast,"clinic service record. Staff describe hybrid advising, eligibility review, posted office hours, manager approval, remote service, case notes for participants and supervisors.",0.698,0.8954,0.7188,1
110,training vendor,South,"training vendor service record. Staff describe eligibility review, participant outreach, front counter, case notes, in person queue for participants and supervisors.",0.9361,0.2568,0.7112,0
111,school,Midwest,"school service record. Staff describe front counter, onsite workshop, manager approval, staff coordination, eligibility review, participant outreach for participants and supervisors.",0.4427,0.6359,0.6477,0
112,school,West,"school service record. Staff describe participant outreach, hybrid advising, remote service, staff coordination, virtual intake for participants and supervisors.",0.3027,0.9452,0.4875,1
113,workforce agency,South,"workforce agency service record. Staff describe remote service, participant outreach, case notes, hybrid advising, eligibility review, manager approval for participants and supervisors.",0.8181,0.39,0.4307,1
114,workforce agency,Northeast,"workforce agency service record. Staff describe case notes, virtual intake, hybrid advising, video check ins, staff coordination, remote service for participants and supervisors.",0.8423,0.534,0.7579,1
115,clinic,South,"clinic service record. Staff describe in person queue, onsite workshop, staff coordination, participant outreach, case notes, digital case files for participants and supervisors.",0.3412,0.2579,0.3828,0
116,clinic,Northeast,"clinic service record. Staff describe participant outreach, online appointments, video check ins, staff coordination, program reporting, remote service, case notes for participants and supervisors.",0.4071,0.4656,0.2984,1
117,city office,West,"city office service record. Staff describe online appointments, staff coordination, digital case files, video check ins, remote service, program reporting, participant outreach, eligibility review for participants and supervisors.",0.5745,0.5839,0.7774,1
118,workforce agency,South,"workforce agency service record. Staff describe eligibility review, hybrid advising, case notes, digital case files, video check ins for participants and supervisors.",0.5391,0.8973,0.6134,1
119,training vendor,West,"training vendor service record. Staff describe virtual intake, participant outreach, remote service, eligibility review, digital case files for participants and supervisors.",0.8788,0.5777,0.6929,1
120,city office,West,"city office service record. Staff describe program reporting, front counter, paper forms, in person queue, onsite workshop, staff coordination, participant outreach for participants and supervisors.",0.4774,0.4863,0.6328,0
121,clinic,South,"clinic service record. Staff describe posted office hours, staff coordination, digital case files, manager approval, case notes, remote service for participants and supervisors.",0.1712,0.2587,0.3915,1
122,city office,Midwest,"city office service record. Staff describe remote service, video check ins, staff coordination, eligibility review, manager approval, online appointments, participant outreach for participants and supervisors.",0.3496,0.8759,0.4679,1
123,workforce agency,South,"workforce agency service record. Staff describe video check ins, hybrid advising, staff coordination, digital case files, manager approval, eligibility review, virtual intake, case notes for participants and supervisors.",0.98,0.6097,0.5339,1
124,school,Midwest,"school service record. Staff describe participant outreach, digital case files, eligibility review, case notes, virtual intake, hybrid advising for participants and supervisors.",0.6789,0.6013,0.7048,1
125,school,South,"school service record. Staff describe remote service, hybrid advising, eligibility review, staff coordination, participant outreach for participants and supervisors.",0.9216,0.7091,0.5712,1
126,training vendor,Northeast,"training vendor service record. Staff describe eligibility review, in person queue, participant outreach, program reporting, posted office hours, manager approval for participants and supervisors.",0.5635,0.2345,0.5328,0
127,city office,West,"city office service record. Staff describe case notes, walk in desk, manager approval, staff coordination, eligibility review, online appointments, front counter for participants and supervisors.",0.5149,0.7552,0.5356,0
128,school,West,"school service record. Staff describe manager approval, onsite workshop, paper forms, program reporting for participants and supervisors.",0.5932,0.4737,0.7305,0
129,school,Midwest,"school service record. Staff describe video check ins, hybrid advising, program reporting, remote service, online appointments, manager approval, eligibility review for participants and supervisors.",0.599,0.3929,0.4493,1
130,workforce agency,Northeast,"workforce agency service record. Staff describe participant outreach, remote service, digital case files, case notes, staff coordination, program reporting for participants and supervisors.",0.0549,0.655,0.5446,1
131,city office,Midwest,"city office service record. Staff describe case notes, in person queue, front counter, walk in desk, manager approval, staff coordination, program reporting for participants and supervisors.",0.4763,0.5739,0.2319,0
132,training vendor,Midwest,"training vendor service record. Staff describe case notes, virtual intake, online appointments, digital case files, video check ins, eligibility review, participant outreach for participants and supervisors.",0.4755,0.8584,0.5892,1
133,city office,South,"city office service record. Staff describe staff coordination, online appointments, hybrid advising, eligibility review, manager approval for participants and supervisors.",0.9184,0.4972,0.2809,1
134,clinic,South,"clinic service record. Staff describe manager approval, digital case files, participant outreach, virtual intake, video check ins, case notes, program reporting, hybrid advising for participants and supervisors.",0.719,0.3408,0.6572,1
135,clinic,West,"clinic service record. Staff describe front counter, in person queue, staff coordination, walk in desk, program reporting, participant outreach, eligibility review for participants and supervisors.",0.4909,0.939,0.6632,0
136,clinic,South,"clinic service record. Staff describe staff coordination, onsite workshop, program reporting, front counter, manager approval, eligibility review for participants and supervisors.",0.8559,0.225,0.3327,0
137,training vendor,West,"training vendor service record. Staff describe hybrid advising, case notes, program reporting, in person queue, manager approval, video check ins, remote service for participants and supervisors.",0.6176,0.2951,0.511,1
138,school,Midwest,"school service record. Staff describe eligibility review, online appointments, remote service, program reporting, staff coordination, case notes, digital case files for participants and supervisors.",0.7409,0.3318,0.6961,1
139,city office,South,"city office service record. Staff describe walk in desk, paper forms, manager approval, digital case files, program reporting, front counter, eligibility review, staff coordination for participants and supervisors.",0.5913,0.7784,0.4356,0
140,school,Midwest,"school service record. Staff describe case notes, eligibility review, online appointments, staff coordination, digital case files, virtual intake, manager approval for participants and supervisors.",0.6186,0.5915,0.1535,1
141,clinic,West,"clinic service record. Staff describe participant outreach, remote service, manager approval, video check ins for participants and supervisors.",0.3874,0.277,0.4012,1
142,school,South,"school service record. Staff describe digital case files, remote service, eligibility review, video check ins, program reporting, hybrid advising, manager approval, staff coordination for participants and supervisors.",0.5972,0.172,0.5519,1
143,school,Northeast,"school service record. Staff describe online appointments, remote service, eligibility review, paper forms, participant outreach, case notes, digital case files, video check ins for participants and supervisors.",0.715,0.3008,0.5651,1
144,workforce agency,Northeast,"workforce agency service record. Staff describe case notes, hybrid advising, online appointments, staff coordination, manager approval, digital case files, program reporting, onsite workshop, video check ins for participants and supervisors.",0.5976,0.4525,0.3514,1
145,city office,Northeast,"city office service record. Staff describe case notes, participant outreach, staff coordination, remote service, online appointments, program reporting for participants and supervisors.",0.6983,0.4529,0.4356,1
146,training vendor,West,"training vendor service record. Staff describe program reporting, digital case files, remote service, eligibility review for participants and supervisors.",0.8575,0.6561,0.7265,1
147,training vendor,West,"training vendor service record. Staff describe digital case files, case notes, program reporting, manager approval, online appointments for participants and supervisors.",0.98,0.5083,0.3829,1
148,clinic,West,"clinic service record. Staff describe video check ins, staff coordination, case notes, virtual intake, digital case files, program reporting, paper forms, online appointments for participants and supervisors.",0.0377,0.9117,0.424,1
149,clinic,South,"clinic service record. Staff describe video check ins, manager approval, digital case files, online appointments, virtual intake, staff coordination, participant outreach, walk in desk, case notes for participants and supervisors.",0.7153,0.5177,0.3715,1
150,training vendor,Midwest,"training vendor service record. Staff describe participant outreach, eligibility review, staff coordination, video check ins, virtual intake for participants and supervisors.",0.2092,0.4919,0.6114,1
