doc_id,conservative_v1,expansive_v1,rubric_v1,any_disagreement,sector,region,occupation_group,document_type,benchmark_mismatch,benchmark_type,source_text
137,0,1,0,1,public,Midwest,production,resume screen,0,none,"resume screen. Job: equipment operator in public. Record note: completed onboarding, certification missing, lacks Python. Applicant history includes recent training. Manager asks whether the match is ready for placement."
140,0,1,1,1,health,Northeast,administration,job-match memo,1,skill_gap,"job-match memo. Job: program assistant in health. Record note: missing equipment, needs EHR, some exposure. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
144,0,1,1,1,education,South,analysis,resume screen,1,skill_gap,"resume screen. Job: data analyst in education. Record note: needs EHR, not familiar with dashboards. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
145,0,1,1,1,health,South,care,job-match memo,1,schedule_gap,"job-match memo. Job: care coordinator in health. Record note: onsite conflict, informal experience, transportation conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
159,0,1,0,1,manufacturing,West,administration,job-match memo,1,credential_gap,"job-match memo. Job: grants coordinator in manufacturing. Record note: credential missing, certification not current, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
163,0,1,1,1,health,West,production,job-match memo,1,skill_gap,"job-match memo. Job: equipment operator in health. Record note: missing SQL, may need support, needs forklift. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
178,0,1,0,1,health,West,operations,resume screen,0,none,"resume screen. Job: logistics coordinator in health. Record note: license not held, completed onboarding, credential missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
1,0,0,0,0,technology,West,care,case review,0,none,"case review. Job: care coordinator in technology. Record note: could benefit from coaching, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement."
2,0,0,0,0,technology,Midwest,operations,job-match memo,0,none,job-match memo. Job: logistics coordinator in technology. Record note: meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.
3,0,0,0,0,public,Midwest,production,case review,1,skill_gap,"case review. Job: production technician in public. Record note: missing SQL, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement."
5,0,0,0,0,technology,Midwest,analysis,resume screen,0,none,resume screen. Job: data analyst in technology. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
6,0,0,0,0,retail,Northeast,operations,resume screen,0,none,resume screen. Job: program operations associate in retail. Record note: credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.
7,0,0,0,0,health,South,operations,resume screen,0,none,resume screen. Job: program operations associate in health. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
8,0,0,0,0,education,Midwest,operations,resume screen,0,none,"resume screen. Job: operations planner in education. Record note: ready for placement, schedule aligned, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
9,0,0,0,0,retail,Northeast,administration,resume screen,0,none,resume screen. Job: program assistant in retail. Record note: ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
10,0,0,0,0,public,West,customer,job-match memo,1,credential_gap,job-match memo. Job: client support lead in public. Record note: degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement.
11,0,0,0,0,education,Northeast,analysis,job-match memo,0,none,"job-match memo. Job: data analyst in education. Record note: no training barrier, ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
12,0,0,0,0,retail,Midwest,customer,job-match memo,0,none,job-match memo. Job: client support lead in retail. Record note: schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
13,0,0,0,0,technology,Midwest,administration,resume screen,0,none,"resume screen. Job: records manager in technology. Record note: ready for placement, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
14,1,1,1,0,health,Midwest,customer,resume screen,1,credential_gap,"resume screen. Job: intake specialist in health. Record note: degree requirement unmet, ready for placement, certification missing. Applicant history includes recent training. Manager asks whether the match is ready for placement."
15,0,0,0,0,retail,Midwest,customer,resume screen,1,credential_gap,resume screen. Job: service representative in retail. Record note: clearance pending. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
16,0,0,0,0,health,Northeast,analysis,resume screen,1,skill_gap,resume screen. Job: policy analyst in health. Record note: upskilling required. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
17,0,0,0,0,manufacturing,South,production,resume screen,1,schedule_gap,"resume screen. Job: warehouse lead in manufacturing. Record note: cannot work nights, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement."
18,0,0,0,0,manufacturing,West,operations,resume screen,1,skill_gap,resume screen. Job: logistics coordinator in manufacturing. Record note: lacks Python. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
19,0,0,0,0,public,South,administration,case review,0,none,"case review. Job: program assistant in public. Record note: credential verified, license verified. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
20,0,0,0,0,education,South,operations,resume screen,0,none,"resume screen. Job: program operations associate in education. Record note: skills aligned, license verified, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement."
21,0,0,0,0,public,South,analysis,resume screen,0,none,"resume screen. Job: benefits analyst in public. Record note: may need support, license verified, meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement."
23,0,0,0,0,retail,Northeast,customer,resume screen,0,none,"resume screen. Job: intake specialist in retail. Record note: completed onboarding, no training barrier, credential verified. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
25,0,0,0,0,public,West,administration,job-match memo,0,none,job-match memo. Job: program assistant in public. Record note: credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
26,0,0,0,0,manufacturing,Northeast,administration,resume screen,0,none,"resume screen. Job: grants coordinator in manufacturing. Record note: ready for placement, meets required credential, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
27,0,0,0,0,manufacturing,Northeast,care,job-match memo,1,schedule_gap,"job-match memo. Job: patient support specialist in manufacturing. Record note: ready for placement, weekend restriction. Applicant history includes recent training. Manager asks whether the match is ready for placement."
28,0,0,0,0,retail,Northeast,analysis,resume screen,0,none,"resume screen. Job: data analyst in retail. Record note: credential verified, schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
29,0,0,0,0,health,Midwest,administration,resume screen,0,none,"resume screen. Job: grants coordinator in health. Record note: credential verified, schedule aligned, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
31,0,0,0,0,education,South,production,job-match memo,0,none,job-match memo. Job: warehouse lead in education. Record note: credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.
34,0,0,0,0,public,Midwest,care,job-match memo,1,credential_gap,job-match memo. Job: care coordinator in public. Record note: clearance pending. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
36,0,0,0,0,manufacturing,Midwest,customer,resume screen,0,none,"resume screen. Job: client support lead in manufacturing. Record note: transitioning from adjacent role, license verified, meets required credential, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement."
37,0,0,0,0,retail,South,production,resume screen,1,schedule_gap,"resume screen. Job: equipment operator in retail. Record note: weekend restriction, license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
38,0,0,0,0,health,West,administration,job-match memo,0,none,"job-match memo. Job: grants coordinator in health. Record note: meets required credential, missing SQL, upskilling required. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
39,0,0,0,0,education,West,operations,job-match memo,1,schedule_gap,"job-match memo. Job: program operations associate in education. Record note: childcare conflict, no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
40,0,0,0,0,retail,South,production,resume screen,1,skill_gap,resume screen. Job: warehouse lead in retail. Record note: needs EHR. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
41,0,0,0,0,health,Northeast,customer,job-match memo,0,none,"job-match memo. Job: intake specialist in health. Record note: ready for placement, license verified. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
42,0,0,0,0,retail,South,customer,resume screen,1,schedule_gap,resume screen. Job: intake specialist in retail. Record note: childcare conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
43,1,1,1,0,public,South,operations,job-match memo,1,credential_gap,"job-match memo. Job: operations planner in public. Record note: degree requirement unmet, certification not current. Applicant history includes recent training. Manager asks whether the match is ready for placement."
44,0,0,0,0,technology,West,production,job-match memo,0,none,"job-match memo. Job: warehouse lead in technology. Record note: completed onboarding, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
46,0,0,0,0,health,Northeast,operations,resume screen,0,none,resume screen. Job: logistics coordinator in health. Record note: skills aligned. Applicant history includes recent training. Manager asks whether the match is ready for placement.
47,0,0,0,0,technology,West,production,resume screen,1,schedule_gap,resume screen. Job: warehouse lead in technology. Record note: available only mornings. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
49,0,0,0,0,technology,South,customer,resume screen,0,none,"resume screen. Job: client support lead in technology. Record note: could benefit from coaching, ready for placement, no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
50,1,1,1,0,health,West,administration,job-match memo,1,credential_gap,"job-match memo. Job: records manager in health. Record note: certification missing, license pending. Applicant history includes recent training. Manager asks whether the match is ready for placement."
51,0,0,0,0,education,West,analysis,job-match memo,0,none,job-match memo. Job: benefits analyst in education. Record note: skills aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
52,0,0,0,0,manufacturing,South,customer,job-match memo,0,none,"job-match memo. Job: intake specialist in manufacturing. Record note: skills aligned, completed onboarding, no training barrier, partial fit. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
53,1,1,1,0,public,Midwest,analysis,job-match memo,1,credential_gap,"job-match memo. Job: data analyst in public. Record note: license pending, credential missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
54,0,0,0,0,technology,Northeast,care,case review,0,none,"case review. Job: patient support specialist in technology. Record note: completed onboarding, skills aligned, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
55,0,0,0,0,technology,West,care,case review,1,skill_gap,"case review. Job: care coordinator in technology. Record note: no training barrier, upskilling required. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
56,0,0,0,0,health,Northeast,customer,job-match memo,0,none,job-match memo. Job: service representative in health. Record note: license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.
57,0,0,0,0,technology,Northeast,customer,resume screen,0,none,"resume screen. Job: service representative in technology. Record note: license verified, skills aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
58,0,0,0,0,manufacturing,West,analysis,resume screen,0,none,"resume screen. Job: data analyst in manufacturing. Record note: credential verified, meets required credential, may need support. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
59,0,0,0,0,retail,West,administration,job-match memo,1,schedule_gap,"job-match memo. Job: program assistant in retail. Record note: schedule conflict, onsite conflict, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
60,0,0,0,0,retail,South,analysis,job-match memo,1,skill_gap,job-match memo. Job: policy analyst in retail. Record note: not familiar with dashboards. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
61,0,0,0,0,technology,South,operations,resume screen,1,schedule_gap,resume screen. Job: operations planner in technology. Record note: onsite conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
62,0,0,0,0,public,Midwest,operations,job-match memo,0,none,job-match memo. Job: operations planner in public. Record note: ready for placement. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
65,0,0,0,0,manufacturing,Northeast,analysis,resume screen,0,none,"resume screen. Job: policy analyst in manufacturing. Record note: skills aligned, meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement."
66,0,0,0,0,technology,Midwest,operations,case review,0,none,"case review. Job: operations planner in technology. Record note: meets required credential, no training barrier, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
67,0,0,0,0,education,West,administration,job-match memo,0,none,job-match memo. Job: program assistant in education. Record note: completed onboarding. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
68,0,0,0,0,retail,South,production,job-match memo,1,skill_gap,job-match memo. Job: warehouse lead in retail. Record note: needs EHR. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
69,0,0,0,0,retail,West,customer,resume screen,0,none,resume screen. Job: client support lead in retail. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
70,0,0,0,0,technology,West,customer,resume screen,0,none,"resume screen. Job: intake specialist in technology. Record note: completed onboarding, no training barrier, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
71,0,0,0,0,education,Northeast,operations,resume screen,0,none,"resume screen. Job: program operations associate in education. Record note: ready for placement, informal experience, schedule aligned, meets required credential. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
72,0,0,0,0,education,Northeast,administration,resume screen,1,schedule_gap,resume screen. Job: records manager in education. Record note: onsite conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
73,0,0,0,0,public,West,operations,resume screen,1,schedule_gap,resume screen. Job: program operations associate in public. Record note: weekend restriction. Applicant history includes recent training. Manager asks whether the match is ready for placement.
74,0,0,0,0,education,South,analysis,job-match memo,1,skill_gap,job-match memo. Job: policy analyst in education. Record note: missing equipment. Applicant history includes recent training. Manager asks whether the match is ready for placement.
75,0,0,0,0,retail,West,customer,resume screen,1,skill_gap,resume screen. Job: service representative in retail. Record note: missing equipment. Applicant history includes recent training. Manager asks whether the match is ready for placement.
76,0,0,0,0,education,Northeast,analysis,resume screen,1,credential_gap,resume screen. Job: data analyst in education. Record note: degree requirement unmet. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
77,0,0,0,0,health,Midwest,customer,job-match memo,1,credential_gap,job-match memo. Job: service representative in health. Record note: license pending. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
78,0,0,0,0,education,West,customer,case review,0,none,"case review. Job: client support lead in education. Record note: license verified, schedule aligned, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
80,0,0,0,0,technology,Midwest,administration,job-match memo,0,none,"job-match memo. Job: records manager in technology. Record note: completed onboarding, could benefit from coaching, no training barrier. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
81,1,1,1,0,technology,South,care,case review,1,credential_gap,"case review. Job: care coordinator in technology. Record note: permit not current, credential missing. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
82,1,1,1,0,manufacturing,Northeast,production,job-match memo,1,credential_gap,"job-match memo. Job: equipment operator in manufacturing. Record note: ready for placement, license pending, license not held. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
83,1,1,1,0,manufacturing,South,operations,job-match memo,1,credential_gap,"job-match memo. Job: program operations associate in manufacturing. Record note: credential missing, partial fit, clearance pending. Applicant history includes recent training. Manager asks whether the match is ready for placement."
84,0,0,0,0,retail,South,customer,case review,1,credential_gap,"case review. Job: intake specialist in retail. Record note: credential missing, may need support, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement."
85,0,0,0,0,public,South,operations,case review,0,none,"case review. Job: operations planner in public. Record note: license verified, no training barrier, schedule aligned. Applicant history includes recent training. Manager asks whether the match is ready for placement."
88,0,0,0,0,public,West,care,resume screen,0,none,"resume screen. Job: care coordinator in public. Record note: ready for placement, informal experience. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
89,0,0,0,0,retail,South,administration,case review,0,none,case review. Job: program assistant in retail. Record note: credential verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
90,0,0,0,0,technology,South,production,case review,0,none,"case review. Job: equipment operator in technology. Record note: completed onboarding, skills aligned. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
91,1,1,1,0,manufacturing,Northeast,care,resume screen,0,none,"resume screen. Job: care coordinator in manufacturing. Record note: degree requirement unmet, credential missing, ready for placement. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
92,0,0,0,0,public,Midwest,administration,resume screen,0,none,"resume screen. Job: grants coordinator in public. Record note: license verified, credential verified, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
93,0,0,0,0,retail,South,care,case review,0,none,"case review. Job: patient support specialist in retail. Record note: license verified, credential verified, meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement."
94,0,0,0,0,public,South,production,resume screen,0,none,"resume screen. Job: equipment operator in public. Record note: no training barrier, ready for placement, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
95,0,0,0,0,health,Midwest,production,resume screen,1,credential_gap,resume screen. Job: equipment operator in health. Record note: degree requirement unmet. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
97,0,0,0,0,manufacturing,Midwest,care,job-match memo,1,schedule_gap,"job-match memo. Job: clinic scheduler in manufacturing. Record note: schedule conflict, cannot work nights, meets required credential. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
98,0,0,0,0,retail,Midwest,administration,resume screen,0,none,"resume screen. Job: records manager in retail. Record note: no training barrier, needs EHR, license verified, permit not current. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
99,0,0,0,0,health,Northeast,administration,case review,1,schedule_gap,case review. Job: records manager in health. Record note: weekend restriction. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
101,0,0,0,0,education,West,customer,resume screen,1,credential_gap,resume screen. Job: intake specialist in education. Record note: credential missing. Applicant history includes recent training. Manager asks whether the match is ready for placement.
102,0,0,0,0,manufacturing,Northeast,production,resume screen,0,none,"resume screen. Job: warehouse lead in manufacturing. Record note: skills aligned, meets required credential, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
103,0,0,0,0,retail,Northeast,analysis,job-match memo,1,credential_gap,job-match memo. Job: benefits analyst in retail. Record note: license pending. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
105,0,0,0,0,education,Northeast,analysis,resume screen,0,none,"resume screen. Job: data analyst in education. Record note: license verified, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
106,0,0,0,0,manufacturing,West,customer,job-match memo,0,none,"job-match memo. Job: service representative in manufacturing. Record note: license verified, schedule aligned, ready for placement. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
107,0,0,0,0,technology,Midwest,customer,resume screen,0,none,"resume screen. Job: client support lead in technology. Record note: credential verified, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
108,1,1,1,0,technology,Northeast,customer,resume screen,1,credential_gap,"resume screen. Job: service representative in technology. Record note: credential missing, degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement."
110,0,0,0,0,health,West,production,resume screen,1,skill_gap,resume screen. Job: equipment operator in health. Record note: lacks Python. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
112,0,0,0,0,retail,South,analysis,case review,0,none,"case review. Job: benefits analyst in retail. Record note: credential verified, completed onboarding. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
115,0,0,0,0,health,Northeast,customer,case review,0,none,"case review. Job: intake specialist in health. Record note: ready for placement, could benefit from coaching. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
116,0,0,0,0,public,South,care,job-match memo,0,none,job-match memo. Job: clinic scheduler in public. Record note: no training barrier. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
117,0,0,0,0,public,Midwest,administration,resume screen,0,none,"resume screen. Job: program assistant in public. Record note: some exposure, skills aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
118,0,0,0,0,technology,Midwest,operations,resume screen,1,skill_gap,"resume screen. Job: operations planner in technology. Record note: credential verified, informal experience, missing SQL. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
119,0,0,0,0,public,Northeast,customer,case review,0,none,case review. Job: client support lead in public. Record note: license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.
120,0,0,0,0,health,South,operations,resume screen,1,credential_gap,resume screen. Job: operations planner in health. Record note: permit not current. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
122,1,1,1,0,public,Northeast,administration,resume screen,1,credential_gap,"resume screen. Job: grants coordinator in public. Record note: clearance pending, credential missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
123,0,0,0,0,education,Northeast,administration,resume screen,0,none,resume screen. Job: grants coordinator in education. Record note: credential verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
124,0,0,0,0,education,Midwest,customer,resume screen,0,none,resume screen. Job: intake specialist in education. Record note: no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
125,0,0,0,0,retail,South,customer,resume screen,0,none,resume screen. Job: client support lead in retail. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
126,0,0,0,0,manufacturing,South,care,job-match memo,1,schedule_gap,job-match memo. Job: care coordinator in manufacturing. Record note: transportation conflict. Applicant history includes recent training. Manager asks whether the match is ready for placement.
127,0,0,0,0,health,South,administration,job-match memo,0,none,"job-match memo. Job: grants coordinator in health. Record note: no training barrier, could benefit from coaching. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
128,0,0,0,0,health,Northeast,production,case review,0,none,"case review. Job: warehouse lead in health. Record note: license verified, informal experience, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
129,0,0,0,0,manufacturing,Midwest,customer,job-match memo,0,none,"job-match memo. Job: client support lead in manufacturing. Record note: completed onboarding, ready for placement, schedule aligned. Applicant history includes recent training. Manager asks whether the match is ready for placement."
130,0,0,0,0,retail,West,production,job-match memo,0,none,"job-match memo. Job: production technician in retail. Record note: skills aligned, ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
131,0,0,0,0,retail,South,analysis,resume screen,0,none,"resume screen. Job: policy analyst in retail. Record note: schedule aligned, credential verified, ready for placement. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
133,0,0,0,0,technology,West,operations,resume screen,0,none,"resume screen. Job: logistics coordinator in technology. Record note: credential verified, ready for placement. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
134,0,0,0,0,public,Northeast,administration,case review,0,none,"case review. Job: records manager in public. Record note: license verified, skills aligned, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
135,0,0,0,0,technology,South,production,resume screen,0,none,resume screen. Job: production technician in technology. Record note: ready for placement. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
136,0,0,0,0,public,Midwest,analysis,resume screen,0,none,"resume screen. Job: benefits analyst in public. Record note: license verified, no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
138,0,0,0,0,manufacturing,West,production,resume screen,0,none,"resume screen. Job: production technician in manufacturing. Record note: license verified, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
139,0,0,0,0,retail,West,analysis,job-match memo,1,skill_gap,job-match memo. Job: benefits analyst in retail. Record note: missing equipment. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
141,1,1,1,0,health,South,customer,case review,1,credential_gap,"case review. Job: client support lead in health. Record note: certification missing, permit not current. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
