doc_id,profile,prompt_hash,mismatch_label,mismatch_type,mismatch_score,confidence,schema_valid,unsupported_flag,low_confidence_flag,human_review_flag,evidence_phrase_count,evidence_phrases,raw_output,year,sector,region,occupation_group,document_type,job_title,source_text,benchmark_mismatch,benchmark_type,demand_index,applicant_interest
10,expansive_v1,64f2e45d522fc7f6,0,none,0.2109,0.5782,1,0,0,0,2,degree requirement unmet; ready for placement,"{""confidence"": 0.5782, ""evidence"": [""degree requirement unmet"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: degree requirement unmet; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,public,West,customer,job-match memo,client support lead,job-match memo. Job: client support lead in public. Record note: degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,credential_gap,0.3699,3.2908
11,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: ready for placement; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,education,Northeast,analysis,job-match memo,data analyst,"job-match memo. Job: data analyst in education. Record note: no training barrier, ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4798,2.9914
11,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,education,Northeast,analysis,job-match memo,data analyst,"job-match memo. Job: data analyst in education. Record note: no training barrier, ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4798,2.9914
11,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,2,ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: ready for placement; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,education,Northeast,analysis,job-match memo,data analyst,"job-match memo. Job: data analyst in education. Record note: no training barrier, ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4798,2.9914
12,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,retail,Midwest,customer,job-match memo,client support lead,job-match memo. Job: client support lead in retail. Record note: schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.5904,3.5055
12,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,retail,Midwest,customer,job-match memo,client support lead,job-match memo. Job: client support lead in retail. Record note: schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.5904,3.5055
12,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,retail,Midwest,customer,job-match memo,client support lead,job-match memo. Job: client support lead in retail. Record note: schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.5904,3.5055
13,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: ready for placement; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,administration,resume screen,records manager,"resume screen. Job: records manager in technology. Record note: ready for placement, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.6495,3.1067
13,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,administration,resume screen,records manager,"resume screen. Job: records manager in technology. Record note: ready for placement, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.6495,3.1067
13,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,2,ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: ready for placement; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,administration,resume screen,records manager,"resume screen. Job: records manager in technology. Record note: ready for placement, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.6495,3.1067
14,conservative_v1,1c131bdb821c277b,1,credential_gap,0.3927,0.2145,1,0,0,0,3,certification missing; degree requirement unmet; ready for placement,"{""confidence"": 0.2145, ""evidence"": [""certification missing"", ""degree requirement unmet"", ""ready for placement""], ""mismatch_label"": 1, ""mismatch_score"": 0.3927, ""mismatch_type"": ""credential_gap"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: certification missing; degree requirement unmet; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2022,health,Midwest,customer,resume screen,intake specialist,"resume screen. Job: intake specialist in health. Record note: degree requirement unmet, ready for placement, certification missing. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.304,2.8478
14,rubric_v1,84fd6cb9b699257b,1,credential_gap,0.4382,0.1236,1,0,1,1,3,certification missing; degree requirement unmet; ready for placement,"{""confidence"": 0.1236, ""evidence"": [""certification missing"", ""degree requirement unmet"", ""ready for placement""], ""mismatch_label"": 1, ""mismatch_score"": 0.4382, ""mismatch_type"": ""credential_gap"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: certification missing; degree requirement unmet; ready for placement"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2022,health,Midwest,customer,resume screen,intake specialist,"resume screen. Job: intake specialist in health. Record note: degree requirement unmet, ready for placement, certification missing. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.304,2.8478
14,expansive_v1,64f2e45d522fc7f6,1,credential_gap,0.5064,0.0127,1,0,1,1,3,certification missing; degree requirement unmet; ready for placement,"{""confidence"": 0.0127, ""evidence"": [""certification missing"", ""degree requirement unmet"", ""ready for placement""], ""mismatch_label"": 1, ""mismatch_score"": 0.5064, ""mismatch_type"": ""credential_gap"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: certification missing; degree requirement unmet; ready for placement"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2022,health,Midwest,customer,resume screen,intake specialist,"resume screen. Job: intake specialist in health. Record note: degree requirement unmet, ready for placement, certification missing. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.304,2.8478
15,conservative_v1,1c131bdb821c277b,0,none,0.0973,0.8055,1,0,0,0,2,clearance pending; ready for placement,"{""confidence"": 0.8055, ""evidence"": [""clearance pending"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.0973, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: clearance pending; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,retail,Midwest,customer,resume screen,service representative,resume screen. Job: service representative in retail. Record note: clearance pending. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,credential_gap,0.5495,2.7313
