case_id,year,program_area,region,case_text,benchmark_mismatch,benchmark_type,placement_score
16,2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: rapid upskilling, needs platform practice. Participant is considering public service placement.",1,skill_gap,2.2769
17,2025,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: schedule aligned, credential verified. Participant is considering health support placement.",0,none,3.3544
18,2024,training voucher,South,Workforce case note for training voucher. Counselor summary: license bridge. Participant is considering health support placement.,1,credential_gap,2.3419
19,2025,union pathway,Northeast,Workforce case note for union pathway. Counselor summary: reciprocity unresolved. Participant is considering health support placement.,1,credential_gap,2.6093
20,2025,city contractor,Northeast,"Workforce case note for city contractor. Counselor summary: ready for placement, schedule aligned. Participant is considering logistics placement.",0,none,3.0106
21,2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: reciprocity unresolved, transitioning from adjacent role. Participant is considering health support placement.",1,credential_gap,3.0007
22,2024,union pathway,Midwest,"Workforce case note for union pathway. Counselor summary: credential bridge, credential verified, bridge credential. Participant is considering office administration placement.",0,none,3.4165
23,2025,training voucher,South,"Workforce case note for training voucher. Counselor summary: care hours conflict, bus route barrier. Participant is considering health support placement.",1,schedule_gap,2.7224
24,2024,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: license verified, skills aligned. Participant is considering health support placement.",0,none,2.7012
25,2025,community college,South,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering health support placement.",1,schedule_gap,2.184
26,2025,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: schedule aligned, credential bridge, no training barrier, reciprocity unresolved. Participant is considering logistics placement.",0,none,2.9478
27,2025,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: schedule aligned, ready for placement. Participant is considering office administration placement.",0,none,3.1514
28,2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: skills aligned, schedule aligned. Participant is considering office administration placement.",0,none,2.8945
29,2025,workforce agency,Midwest,"Workforce case note for workforce agency. Counselor summary: ready for placement, schedule aligned. Participant is considering office administration placement.",0,none,3.1498
30,2025,community college,Midwest,Workforce case note for community college. Counselor summary: license verified. Participant is considering health support placement.,0,none,2.5372
31,2025,workforce agency,South,"Workforce case note for workforce agency. Counselor summary: informal experience, no training barrier, schedule aligned. Participant is considering office administration placement.",0,none,2.8367
32,2025,workforce agency,Midwest,Workforce case note for workforce agency. Counselor summary: wraparound schedule. Participant is considering health support placement.,1,schedule_gap,2.5313
33,2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: partial fit, license verified. Participant is considering logistics placement.",0,none,3.099
34,2024,training voucher,West,Workforce case note for training voucher. Counselor summary: care hours conflict. Participant is considering public service placement.,1,schedule_gap,2.5705
35,2025,community college,Northeast,Workforce case note for community college. Counselor summary: license verified. Participant is considering public service placement.,0,none,2.9178
36,2025,workforce agency,West,"Workforce case note for workforce agency. Counselor summary: paperwork credential pending, credential bridge. Participant is considering logistics placement.",1,credential_gap,2.6152
37,2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: reciprocity unresolved, license verified, schedule aligned, license bridge. Participant is considering health support placement.",0,none,2.8248
38,2025,training voucher,South,"Workforce case note for training voucher. Counselor summary: credential verified, no training barrier. Participant is considering logistics placement.",0,none,2.7095
39,2025,training voucher,West,Workforce case note for training voucher. Counselor summary: shift barrier. Participant is considering logistics placement.,1,schedule_gap,2.357
40,2024,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: skills aligned, license verified. Participant is considering logistics placement.",0,none,2.7637
41,2024,workforce agency,Northeast,Workforce case note for workforce agency. Counselor summary: schedule aligned. Participant is considering logistics placement.,0,none,2.679
42,2024,union pathway,South,Workforce case note for union pathway. Counselor summary: rapid upskilling. Participant is considering health support placement.,1,skill_gap,2.4584
43,2025,training voucher,South,Workforce case note for training voucher. Counselor summary: credential verified. Participant is considering health support placement.,0,none,3.034
44,2024,city contractor,Northeast,"Workforce case note for city contractor. Counselor summary: license bridge, skills aligned, credential bridge. Participant is considering logistics placement.",0,none,2.5313
45,2025,community college,South,"Workforce case note for community college. Counselor summary: bridge credential, digital intake coaching. Participant is considering office administration placement.",1,skill_gap,2.3898
46,2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: credential verified, skills aligned. Participant is considering health support placement.",0,none,3.0294
47,2024,workforce agency,Northeast,"Workforce case note for workforce agency. Counselor summary: ready for placement, license verified. Participant is considering public service placement.",0,none,3.1887
48,2025,workforce agency,Midwest,Workforce case note for workforce agency. Counselor summary: skills aligned. Participant is considering office administration placement.,0,none,2.621
49,2024,union pathway,West,"Workforce case note for union pathway. Counselor summary: bridge credential, digital intake coaching. Participant is considering office administration placement.",1,skill_gap,2.6288
50,2024,workforce agency,Northeast,Workforce case note for workforce agency. Counselor summary: no training barrier. Participant is considering health support placement.,0,none,2.6255
51,2025,workforce agency,Midwest,"Workforce case note for workforce agency. Counselor summary: ready for placement, no training barrier. Participant is considering logistics placement.",0,none,2.7284
52,2024,training voucher,Midwest,"Workforce case note for training voucher. Counselor summary: credential verified, no training barrier, informal experience. Participant is considering office administration placement.",0,none,2.8156
53,2024,community college,West,"Workforce case note for community college. Counselor summary: license verified, reciprocity unresolved, credential bridge. Participant is considering office administration placement.",0,none,2.5472
54,2024,training voucher,West,"Workforce case note for training voucher. Counselor summary: rapid upskilling, bridge credential. Participant is considering public service placement.",1,skill_gap,2.5002
55,2024,training voucher,Northeast,"Workforce case note for training voucher. Counselor summary: transitioning from adjacent role, bridge credential, digital intake coaching. Participant is considering public service placement.",1,skill_gap,2.7687
56,2024,workforce agency,Midwest,"Workforce case note for workforce agency. Counselor summary: bridge credential, digital intake coaching. Participant is considering public service placement.",1,skill_gap,2.3238
57,2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: ready for placement, could benefit from coaching. Participant is considering office administration placement.",0,none,3.0057
58,2024,training voucher,South,Workforce case note for training voucher. Counselor summary: digital intake coaching. Participant is considering public service placement.,1,skill_gap,2.6776
59,2024,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: schedule aligned, ready for placement. Participant is considering health support placement.",0,none,3.1932
60,2024,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: schedule aligned, license verified. Participant is considering office administration placement.",0,none,2.9037
61,2024,community college,West,"Workforce case note for community college. Counselor summary: shift barrier, wraparound schedule. Participant is considering office administration placement.",1,schedule_gap,2.6967
62,2024,training voucher,South,Workforce case note for training voucher. Counselor summary: bridge credential. Participant is considering logistics placement.,1,skill_gap,2.5443
63,2025,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: schedule aligned, no training barrier. Participant is considering health support placement.",0,none,2.8862
64,2025,workforce agency,South,"Workforce case note for workforce agency. Counselor summary: paperwork credential pending, credential bridge. Participant is considering health support placement.",1,credential_gap,2.3915
65,2024,city contractor,Northeast,Workforce case note for city contractor. Counselor summary: credential verified. Participant is considering health support placement.,0,none,2.7834
66,2024,union pathway,Midwest,Workforce case note for union pathway. Counselor summary: ready for placement. Participant is considering office administration placement.,0,none,2.9414
67,2025,training voucher,West,Workforce case note for training voucher. Counselor summary: needs platform practice. Participant is considering logistics placement.,1,skill_gap,2.3915
68,2025,union pathway,Midwest,"Workforce case note for union pathway. Counselor summary: license bridge, credential bridge. Participant is considering public service placement.",1,credential_gap,2.0877
69,2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: license verified, credential verified. Participant is considering logistics placement.",0,none,2.9926
70,2025,community college,West,"Workforce case note for community college. Counselor summary: rapid upskilling, needs platform practice. Participant is considering public service placement.",1,skill_gap,2.4211
71,2025,community college,Northeast,"Workforce case note for community college. Counselor summary: license verified, no training barrier. Participant is considering logistics placement.",0,none,3.2299
72,2025,training voucher,West,Workforce case note for training voucher. Counselor summary: bus route barrier. Participant is considering office administration placement.,1,schedule_gap,2.5219
73,2025,city contractor,West,Workforce case note for city contractor. Counselor summary: ready for placement. Participant is considering office administration placement.,0,none,2.9382
74,2024,city contractor,West,"Workforce case note for city contractor. Counselor summary: wraparound schedule, care hours conflict. Participant is considering office administration placement.",1,schedule_gap,2.605
75,2025,training voucher,Midwest,"Workforce case note for training voucher. Counselor summary: reciprocity unresolved, paperwork credential pending. Participant is considering office administration placement.",1,credential_gap,2.4475
76,2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: shift barrier, bus route barrier, could benefit from coaching. Participant is considering office administration placement.",1,schedule_gap,2.4284
77,2025,city contractor,Midwest,Workforce case note for city contractor. Counselor summary: reciprocity unresolved. Participant is considering logistics placement.,1,credential_gap,2.4482
78,2024,city contractor,Northeast,"Workforce case note for city contractor. Counselor summary: skills aligned, license verified. Participant is considering health support placement.",0,none,2.5292
79,2025,training voucher,South,Workforce case note for training voucher. Counselor summary: wraparound schedule. Participant is considering logistics placement.,1,schedule_gap,2.6211
80,2025,community college,Northeast,"Workforce case note for community college. Counselor summary: ready for placement, skills aligned. Participant is considering health support placement.",0,none,2.4495
81,2024,union pathway,West,Workforce case note for union pathway. Counselor summary: skills aligned. Participant is considering logistics placement.,0,none,2.9854
82,2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: no training barrier, schedule aligned. Participant is considering logistics placement.",0,none,2.8962
83,2024,union pathway,South,Workforce case note for union pathway. Counselor summary: bridge credential. Participant is considering logistics placement.,1,skill_gap,2.8775
84,2025,workforce agency,West,Workforce case note for workforce agency. Counselor summary: no training barrier. Participant is considering public service placement.,0,none,3.1328
85,2025,city contractor,South,"Workforce case note for city contractor. Counselor summary: schedule aligned, no training barrier. Participant is considering logistics placement.",0,none,2.4348
86,2025,community college,Midwest,Workforce case note for community college. Counselor summary: bus route barrier. Participant is considering health support placement.,1,schedule_gap,2.2119
87,2024,training voucher,South,"Workforce case note for training voucher. Counselor summary: skills aligned, ready for placement. Participant is considering public service placement.",0,none,2.5446
88,2024,community college,West,"Workforce case note for community college. Counselor summary: digital intake coaching, rapid upskilling. Participant is considering health support placement.",1,skill_gap,2.714
89,2024,union pathway,Northeast,Workforce case note for union pathway. Counselor summary: credential verified. Participant is considering health support placement.,0,none,3.0871
90,2024,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: credential bridge, may need support, license bridge. Participant is considering office administration placement.",1,credential_gap,2.507
91,2024,training voucher,South,"Workforce case note for training voucher. Counselor summary: license bridge, transitioning from adjacent role. Participant is considering public service placement.",1,credential_gap,2.7473
92,2024,community college,Midwest,"Workforce case note for community college. Counselor summary: no training barrier, ready for placement. Participant is considering logistics placement.",0,none,2.8537
93,2025,workforce agency,South,"Workforce case note for workforce agency. Counselor summary: credential verified, no training barrier. Participant is considering office administration placement.",0,none,2.6171
94,2025,training voucher,Midwest,Workforce case note for training voucher. Counselor summary: bus route barrier. Participant is considering office administration placement.,1,schedule_gap,2.1858
95,2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: credential verified, license verified. Participant is considering public service placement.",0,none,3.1174
96,2024,city contractor,West,"Workforce case note for city contractor. Counselor summary: no training barrier, license verified, some exposure. Participant is considering office administration placement.",0,none,2.9404
97,2024,training voucher,Midwest,Workforce case note for training voucher. Counselor summary: license verified. Participant is considering logistics placement.,0,none,2.9516
98,2024,training voucher,Northeast,"Workforce case note for training voucher. Counselor summary: reciprocity unresolved, paperwork credential pending, may need support. Participant is considering office administration placement.",1,credential_gap,2.8354
99,2024,community college,West,Workforce case note for community college. Counselor summary: schedule aligned. Participant is considering health support placement.,0,none,2.9181
100,2025,workforce agency,South,Workforce case note for workforce agency. Counselor summary: wraparound schedule. Participant is considering health support placement.,1,schedule_gap,2.5103
