doc_id,year,sector,region,occupation_group,document_type,job_title,source_text,benchmark_mismatch,benchmark_type,demand_index,applicant_interest
16,2024,health,Northeast,analysis,resume screen,policy analyst,resume screen. Job: policy analyst in health. Record note: upskilling required. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,skill_gap,0.918,3.1368
17,2025,manufacturing,South,production,resume screen,warehouse lead,"resume screen. Job: warehouse lead in manufacturing. Record note: cannot work nights, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,schedule_gap,0.4749,2.7767
18,2025,manufacturing,West,operations,resume screen,logistics coordinator,resume screen. Job: logistics coordinator in manufacturing. Record note: lacks Python. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,skill_gap,0.5227,2.5572
19,2025,public,South,administration,case review,program assistant,"case review. Job: program assistant in public. Record note: credential verified, license verified. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.8597,3.443
20,2025,education,South,operations,resume screen,program operations associate,"resume screen. Job: program operations associate in education. Record note: skills aligned, license verified, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.1891,3.0147
21,2023,public,South,analysis,resume screen,benefits analyst,"resume screen. Job: benefits analyst in public. Record note: may need support, license verified, meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.2881,3.6288
22,2023,retail,South,administration,case review,program assistant,"case review. Job: program assistant in retail. Record note: credential verified, license not held, credential missing. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.474,3.3376
23,2023,retail,Northeast,customer,resume screen,intake specialist,"resume screen. Job: intake specialist in retail. Record note: completed onboarding, no training barrier, credential verified. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.7409,3.3178
24,2025,public,West,customer,case review,intake specialist,"case review. Job: intake specialist in public. Record note: needs EHR, completed onboarding, permit not current. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.6118,3.1984
25,2022,public,West,administration,job-match memo,program assistant,job-match memo. Job: program assistant in public. Record note: credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,0,none,0.6279,3.487
26,2023,manufacturing,Northeast,administration,resume screen,grants coordinator,"resume screen. Job: grants coordinator in manufacturing. Record note: ready for placement, meets required credential, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.6005,3.4104
27,2023,manufacturing,Northeast,care,job-match memo,patient support specialist,"job-match memo. Job: patient support specialist in manufacturing. Record note: ready for placement, weekend restriction. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,schedule_gap,0.7964,2.947
28,2023,retail,Northeast,analysis,resume screen,data analyst,"resume screen. Job: data analyst in retail. Record note: credential verified, schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.9719,3.823
29,2023,health,Midwest,administration,resume screen,grants coordinator,"resume screen. Job: grants coordinator in health. Record note: credential verified, schedule aligned, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.5881,3.6944
30,2024,manufacturing,South,production,job-match memo,production technician,"job-match memo. Job: production technician in manufacturing. Record note: license not held, credential missing, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.4859,3.4977
31,2023,education,South,production,job-match memo,warehouse lead,job-match memo. Job: warehouse lead in education. Record note: credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.4456,3.407
32,2022,technology,Midwest,customer,resume screen,service representative,"resume screen. Job: service representative in technology. Record note: schedule aligned, lacks Python, needs forklift, could benefit from coaching. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,skill_gap,0.7702,2.8394
33,2023,public,West,customer,job-match memo,service representative,"job-match memo. Job: service representative in public. Record note: lacks Python, missing SQL. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,skill_gap,0.6963,3.1107
34,2022,public,Midwest,care,job-match memo,care coordinator,job-match memo. Job: care coordinator in public. Record note: clearance pending. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,credential_gap,0.5065,3.1746
35,2023,public,West,production,job-match memo,warehouse lead,"job-match memo. Job: warehouse lead in public. Record note: clearance pending, lacks Python, skills aligned, partial fit. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.6896,3.4223
36,2022,manufacturing,Midwest,customer,resume screen,client support lead,"resume screen. Job: client support lead in manufacturing. Record note: transitioning from adjacent role, license verified, meets required credential, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.7969,3.6184
37,2023,retail,South,production,resume screen,equipment operator,"resume screen. Job: equipment operator in retail. Record note: weekend restriction, license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,schedule_gap,0.4175,2.7104
38,2023,health,West,administration,job-match memo,grants coordinator,"job-match memo. Job: grants coordinator in health. Record note: meets required credential, missing SQL, upskilling required. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.354,3.4529
39,2023,education,West,operations,job-match memo,program operations associate,"job-match memo. Job: program operations associate in education. Record note: childcare conflict, no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,schedule_gap,0.72,3.311
40,2024,retail,South,production,resume screen,warehouse lead,resume screen. Job: warehouse lead in retail. Record note: needs EHR. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,skill_gap,0.3983,3.0682
41,2023,health,Northeast,customer,job-match memo,intake specialist,"job-match memo. Job: intake specialist in health. Record note: ready for placement, license verified. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.5519,3.8447
42,2023,retail,South,customer,resume screen,intake specialist,resume screen. Job: intake specialist in retail. Record note: childcare conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,schedule_gap,0.4136,2.9455
43,2024,public,South,operations,job-match memo,operations planner,"job-match memo. Job: operations planner in public. Record note: degree requirement unmet, certification not current. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.5691,2.8279
44,2025,technology,West,production,job-match memo,warehouse lead,"job-match memo. Job: warehouse lead in technology. Record note: completed onboarding, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.642,3.4469
45,2022,health,Northeast,analysis,resume screen,data analyst,"resume screen. Job: data analyst in health. Record note: needs EHR, upskilling required, may need support, skills aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.615,3.2819
46,2022,health,Northeast,operations,resume screen,logistics coordinator,resume screen. Job: logistics coordinator in health. Record note: skills aligned. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.9378,3.2711
47,2023,technology,West,production,resume screen,warehouse lead,resume screen. Job: warehouse lead in technology. Record note: available only mornings. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,schedule_gap,0.8064,2.9848
48,2023,manufacturing,Midwest,operations,case review,logistics coordinator,"case review. Job: logistics coordinator in manufacturing. Record note: not familiar with dashboards, training required. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.1505,2.5468
49,2025,technology,South,customer,resume screen,client support lead,"resume screen. Job: client support lead in technology. Record note: could benefit from coaching, ready for placement, no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.8728,3.5207
50,2025,health,West,administration,job-match memo,records manager,"job-match memo. Job: records manager in health. Record note: certification missing, license pending. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.7431,3.0439
51,2025,education,West,analysis,job-match memo,benefits analyst,job-match memo. Job: benefits analyst in education. Record note: skills aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.4518,3.6258
52,2024,manufacturing,South,customer,job-match memo,intake specialist,"job-match memo. Job: intake specialist in manufacturing. Record note: skills aligned, completed onboarding, no training barrier, partial fit. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.5212,3.2432
53,2024,public,Midwest,analysis,job-match memo,data analyst,"job-match memo. Job: data analyst in public. Record note: license pending, credential missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,credential_gap,0.6063,2.958
54,2023,technology,Northeast,care,case review,patient support specialist,"case review. Job: patient support specialist in technology. Record note: completed onboarding, skills aligned, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.748,3.0376
55,2023,technology,West,care,case review,care coordinator,"case review. Job: care coordinator in technology. Record note: no training barrier, upskilling required. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.8227,2.8988
56,2023,health,Northeast,customer,job-match memo,service representative,job-match memo. Job: service representative in health. Record note: license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.3192,2.9821
57,2022,technology,Northeast,customer,resume screen,service representative,"resume screen. Job: service representative in technology. Record note: license verified, skills aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.5811,3.44
58,2024,manufacturing,West,analysis,resume screen,data analyst,"resume screen. Job: data analyst in manufacturing. Record note: credential verified, meets required credential, may need support. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.789,3.7931
59,2024,retail,West,administration,job-match memo,program assistant,"job-match memo. Job: program assistant in retail. Record note: schedule conflict, onsite conflict, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,schedule_gap,0.6803,2.8339
60,2024,retail,South,analysis,job-match memo,policy analyst,job-match memo. Job: policy analyst in retail. Record note: not familiar with dashboards. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,skill_gap,0.5274,3.1577
61,2023,technology,South,operations,resume screen,operations planner,resume screen. Job: operations planner in technology. Record note: onsite conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,schedule_gap,0.6354,2.8101
62,2025,public,Midwest,operations,job-match memo,operations planner,job-match memo. Job: operations planner in public. Record note: ready for placement. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,0,none,0.7927,3.6543
63,2025,public,West,production,case review,equipment operator,"case review. Job: equipment operator in public. Record note: available only mornings, childcare conflict. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,schedule_gap,0.81,3.1023
64,2023,manufacturing,West,care,resume screen,clinic scheduler,"resume screen. Job: clinic scheduler in manufacturing. Record note: may need support, childcare conflict, onsite conflict. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,schedule_gap,0.2193,2.6449
65,2025,manufacturing,Northeast,analysis,resume screen,policy analyst,"resume screen. Job: policy analyst in manufacturing. Record note: skills aligned, meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.3642,3.1339
66,2023,technology,Midwest,operations,case review,operations planner,"case review. Job: operations planner in technology. Record note: meets required credential, no training barrier, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.6086,3.3121
67,2022,education,West,administration,job-match memo,program assistant,job-match memo. Job: program assistant in education. Record note: completed onboarding. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,0,none,0.7091,3.8961
68,2024,retail,South,production,job-match memo,warehouse lead,job-match memo. Job: warehouse lead in retail. Record note: needs EHR. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,skill_gap,0.2687,2.2693
69,2024,retail,West,customer,resume screen,client support lead,resume screen. Job: client support lead in retail. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.5839,3.4954
70,2023,technology,West,customer,resume screen,intake specialist,"resume screen. Job: intake specialist in technology. Record note: completed onboarding, no training barrier, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.2937,3.2415
71,2022,education,Northeast,operations,resume screen,program operations associate,"resume screen. Job: program operations associate in education. Record note: ready for placement, informal experience, schedule aligned, meets required credential. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.3617,3.6964
72,2022,education,Northeast,administration,resume screen,records manager,resume screen. Job: records manager in education. Record note: onsite conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,schedule_gap,0.525,3.3386
73,2025,public,West,operations,resume screen,program operations associate,resume screen. Job: program operations associate in public. Record note: weekend restriction. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,schedule_gap,0.3422,3.0759
74,2025,education,South,analysis,job-match memo,policy analyst,job-match memo. Job: policy analyst in education. Record note: missing equipment. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,skill_gap,0.22,2.415
75,2024,retail,West,customer,resume screen,service representative,resume screen. Job: service representative in retail. Record note: missing equipment. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,skill_gap,0.5948,3.3478
76,2022,education,Northeast,analysis,resume screen,data analyst,resume screen. Job: data analyst in education. Record note: degree requirement unmet. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,credential_gap,0.6343,3.1454
77,2023,health,Midwest,customer,job-match memo,service representative,job-match memo. Job: service representative in health. Record note: license pending. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,credential_gap,0.5995,2.9287
78,2023,education,West,customer,case review,client support lead,"case review. Job: client support lead in education. Record note: license verified, schedule aligned, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.955,3.4994
79,2024,health,West,operations,job-match memo,operations planner,"job-match memo. Job: operations planner in health. Record note: training required, completed onboarding, upskilling required, could benefit from coaching. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4578,3.5427
80,2023,technology,Midwest,administration,job-match memo,records manager,"job-match memo. Job: records manager in technology. Record note: completed onboarding, could benefit from coaching, no training barrier. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.8867,3.208
81,2022,technology,South,care,case review,care coordinator,"case review. Job: care coordinator in technology. Record note: permit not current, credential missing. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,credential_gap,0.6809,2.9284
82,2024,manufacturing,Northeast,production,job-match memo,equipment operator,"job-match memo. Job: equipment operator in manufacturing. Record note: ready for placement, license pending, license not held. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,credential_gap,0.535,2.7056
83,2024,manufacturing,South,operations,job-match memo,program operations associate,"job-match memo. Job: program operations associate in manufacturing. Record note: credential missing, partial fit, clearance pending. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.7195,2.5947
84,2023,retail,South,customer,case review,intake specialist,"case review. Job: intake specialist in retail. Record note: credential missing, may need support, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.4201,3.0864
85,2025,public,South,operations,case review,operations planner,"case review. Job: operations planner in public. Record note: license verified, no training barrier, schedule aligned. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.444,3.3223
86,2023,education,South,operations,job-match memo,operations planner,"job-match memo. Job: operations planner in education. Record note: upskilling required, not familiar with dashboards. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,skill_gap,0.6007,3.2472
87,2025,manufacturing,South,administration,resume screen,program assistant,"resume screen. Job: program assistant in manufacturing. Record note: needs forklift, certification not current, no training barrier. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.348,3.3963
88,2022,public,West,care,resume screen,care coordinator,"resume screen. Job: care coordinator in public. Record note: ready for placement, informal experience. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.1577,3.1832
89,2024,retail,South,administration,case review,program assistant,case review. Job: program assistant in retail. Record note: credential verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.5148,3.4247
90,2024,technology,South,production,case review,equipment operator,"case review. Job: equipment operator in technology. Record note: completed onboarding, skills aligned. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.6304,3.2758
91,2024,manufacturing,Northeast,care,resume screen,care coordinator,"resume screen. Job: care coordinator in manufacturing. Record note: degree requirement unmet, credential missing, ready for placement. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.7315,3.076
92,2024,public,Midwest,administration,resume screen,grants coordinator,"resume screen. Job: grants coordinator in public. Record note: license verified, credential verified, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4154,3.21
93,2023,retail,South,care,case review,patient support specialist,"case review. Job: patient support specialist in retail. Record note: license verified, credential verified, meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.8074,3.6229
94,2022,public,South,production,resume screen,equipment operator,"resume screen. Job: equipment operator in public. Record note: no training barrier, ready for placement, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.7263,3.5765
95,2023,health,Midwest,production,resume screen,equipment operator,resume screen. Job: equipment operator in health. Record note: degree requirement unmet. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,1,credential_gap,0.5381,3.1324
96,2025,technology,Midwest,operations,case review,logistics coordinator,"case review. Job: logistics coordinator in technology. Record note: some exposure, needs EHR. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,skill_gap,0.66,3.5079
97,2022,manufacturing,Midwest,care,job-match memo,clinic scheduler,"job-match memo. Job: clinic scheduler in manufacturing. Record note: schedule conflict, cannot work nights, meets required credential. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,schedule_gap,0.6653,3.0663
98,2022,retail,Midwest,administration,resume screen,records manager,"resume screen. Job: records manager in retail. Record note: no training barrier, needs EHR, license verified, permit not current. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.6948,3.6693
99,2023,health,Northeast,administration,case review,records manager,case review. Job: records manager in health. Record note: weekend restriction. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,1,schedule_gap,0.6824,3.084
100,2023,retail,Northeast,operations,job-match memo,logistics coordinator,"job-match memo. Job: logistics coordinator in retail. Record note: could benefit from coaching, missing equipment. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,skill_gap,0.5677,2.6871
101,2025,education,West,customer,resume screen,intake specialist,resume screen. Job: intake specialist in education. Record note: credential missing. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,credential_gap,0.3573,3.2544
102,2024,manufacturing,Northeast,production,resume screen,warehouse lead,"resume screen. Job: warehouse lead in manufacturing. Record note: skills aligned, meets required credential, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.6923,3.478
103,2025,retail,Northeast,analysis,job-match memo,benefits analyst,job-match memo. Job: benefits analyst in retail. Record note: license pending. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,1,credential_gap,0.4144,2.8978
104,2025,public,West,operations,case review,program operations associate,"case review. Job: program operations associate in public. Record note: transportation conflict, onsite conflict. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,schedule_gap,0.8997,3.4486
105,2023,education,Northeast,analysis,resume screen,data analyst,"resume screen. Job: data analyst in education. Record note: license verified, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.537,3.3269
106,2024,manufacturing,West,customer,job-match memo,service representative,"job-match memo. Job: service representative in manufacturing. Record note: license verified, schedule aligned, ready for placement. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.7481,3.5511
107,2024,technology,Midwest,customer,resume screen,client support lead,"resume screen. Job: client support lead in technology. Record note: credential verified, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.584,3.2796
108,2024,technology,Northeast,customer,resume screen,service representative,"resume screen. Job: service representative in technology. Record note: credential missing, degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.3482,3.2829
109,2023,manufacturing,Midwest,care,case review,care coordinator,"case review. Job: care coordinator in manufacturing. Record note: needs forklift, missing equipment. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,skill_gap,0.6606,2.682
110,2024,health,West,production,resume screen,equipment operator,resume screen. Job: equipment operator in health. Record note: lacks Python. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,skill_gap,0.4375,2.9321
111,2023,public,West,customer,job-match memo,service representative,"job-match memo. Job: service representative in public. Record note: upskilling required, not familiar with dashboards. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,skill_gap,0.8079,3.0086
112,2025,retail,South,analysis,case review,benefits analyst,"case review. Job: benefits analyst in retail. Record note: credential verified, completed onboarding. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.6984,3.1226
113,2024,retail,South,analysis,job-match memo,benefits analyst,"job-match memo. Job: benefits analyst in retail. Record note: needs EHR, not familiar with dashboards, could benefit from coaching. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.7227,2.9322
114,2023,technology,Midwest,customer,job-match memo,client support lead,"job-match memo. Job: client support lead in technology. Record note: weekend restriction, available only mornings. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,schedule_gap,0.6112,2.8566
115,2023,health,Northeast,customer,case review,intake specialist,"case review. Job: intake specialist in health. Record note: ready for placement, could benefit from coaching. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.5687,3.7896
116,2023,public,South,care,job-match memo,clinic scheduler,job-match memo. Job: clinic scheduler in public. Record note: no training barrier. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,0,none,0.535,3.029
117,2024,public,Midwest,administration,resume screen,program assistant,"resume screen. Job: program assistant in public. Record note: some exposure, skills aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4094,3.1941
118,2023,technology,Midwest,operations,resume screen,operations planner,"resume screen. Job: operations planner in technology. Record note: credential verified, informal experience, missing SQL. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.5921,2.9566
119,2023,public,Northeast,customer,case review,client support lead,case review. Job: client support lead in public. Record note: license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.5879,3.8465
120,2024,health,South,operations,resume screen,operations planner,resume screen. Job: operations planner in health. Record note: permit not current. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,1,credential_gap,0.4545,3.1754
121,2022,technology,West,operations,job-match memo,program operations associate,"job-match memo. Job: program operations associate in technology. Record note: some exposure, cannot work nights. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,schedule_gap,0.4759,2.4791
122,2025,public,Northeast,administration,resume screen,grants coordinator,"resume screen. Job: grants coordinator in public. Record note: clearance pending, credential missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,credential_gap,0.5517,2.7692
123,2025,education,Northeast,administration,resume screen,grants coordinator,resume screen. Job: grants coordinator in education. Record note: credential verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.2848,3.2299
124,2025,education,Midwest,customer,resume screen,intake specialist,resume screen. Job: intake specialist in education. Record note: no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,0,none,0.4804,2.871
125,2024,retail,South,customer,resume screen,client support lead,resume screen. Job: client support lead in retail. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.7707,3.1959
126,2025,manufacturing,South,care,job-match memo,care coordinator,job-match memo. Job: care coordinator in manufacturing. Record note: transportation conflict. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,schedule_gap,0.7142,3.0894
127,2025,health,South,administration,job-match memo,grants coordinator,"job-match memo. Job: grants coordinator in health. Record note: no training barrier, could benefit from coaching. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.7749,3.7779
128,2025,health,Northeast,production,case review,warehouse lead,"case review. Job: warehouse lead in health. Record note: license verified, informal experience, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.8608,3.6302
129,2025,manufacturing,Midwest,customer,job-match memo,client support lead,"job-match memo. Job: client support lead in manufacturing. Record note: completed onboarding, ready for placement, schedule aligned. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.4797,3.626
130,2024,retail,West,production,job-match memo,production technician,"job-match memo. Job: production technician in retail. Record note: skills aligned, ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.5414,3.4595
131,2023,retail,South,analysis,resume screen,policy analyst,"resume screen. Job: policy analyst in retail. Record note: schedule aligned, credential verified, ready for placement. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.3336,2.8937
132,2025,manufacturing,Northeast,care,job-match memo,patient support specialist,"job-match memo. Job: patient support specialist in manufacturing. Record note: lacks Python, needs EHR. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.5077,2.8008
